time_s;acc_x_ms2;acc_y_ms2;acc_z_ms2;acc_abs_ms2;source_file
0;0.0020082;0.047438025;-0.010847092;0.048703783;sample_01_Asfalt_combo1_cut01.csv
1.000092183;0.297101617;-0.081572413;-0.079092979;0.318086669;sample_01_Asfalt_combo1_cut02.csv
2.000092827;-0.984995008;0.236972094;0.137576103;1.022398221;sample_01_Asfalt_combo1_cut03.csv
3.000092164;-1.752987862;0.018637121;-1.339848518;2.206469541;sample_01_Asfalt_combo1_cut04.csv
4.000092347;-0.485948861;-1.351871729;0.133001328;1.442703303;sample_01_Asfalt_combo1_cut05.csv
5.000092376;1.633732557;0.04260172;0.214351654;1.64828505;sample_01_Asfalt_combo1_cut06.csv
6.000092251;-0.6595999;-0.123144269;-0.929683685;1.146537524;sample_01_Asfalt_combo1_cut07.csv
7.000093511;-0.673195005;-0.52006501;1.535151482;1.755092362;sample_01_Asfalt_combo1_cut08.csv
8.000022289;0.438553095;-0.401208192;0.605149269;0.848234913;sample_01_Asfalt_combo1_cut09.csv
9.000021477;1.076945066;0.171215236;1.867549896;2.162606748;sample_01_Asfalt_combo1_cut10.csv
10.00001928;0.066216871;0.0561077;0.54814148;0.554970116;sample_01_Asfalt_combo1_cut11.csv
11.00001724;1.201065779;0.30714947;0.511864662;1.341232729;sample_01_Asfalt_combo1_cut12.csv
12.00001781;0.245085478;-0.235488951;-0.124010086;0.361801657;sample_01_Asfalt_combo1_cut13.csv
13.00001792;0.125968292;0.190126419;-0.985897064;1.011933341;sample_01_Asfalt_combo1_cut14.csv
14.00001665;0.653780699;0.337255061;-0.945958138;1.198335085;sample_01_Asfalt_combo1_cut15.csv
15.00001645;-0.098418221;0.552426219;0.515316963;0.761848047;sample_01_Asfalt_combo1_cut16.csv
16.00001517;-0.965238452;0.810797811;1.213798523;1.749967203;sample_01_Asfalt_combo1_cut17.csv
17.00001198;0.329728007;-0.411608756;-0.015032768;0.527606208;sample_01_Asfalt_combo1_cut18.csv
18.00001278;-0.040858462;0.131704688;0.056458473;0.14900704;sample_01_Asfalt_combo1_cut19.csv
19.00010632;1.649070859;-0.935327053;0.287851334;1.917584362;sample_01_Asfalt_combo1_cut20.csv
20.00010586;-0.794095993;-0.136180371;-0.025905609;0.806104609;sample_01_Asfalt_combo1_cut21.csv
0;-0.002793819;0.004760444;0.087285042;0.087459395;sample_02_Gras_combo1_cut01.csv
1.000000929;-0.128928185;0.026617467;-0.184549332;0.226692351;sample_02_Gras_combo1_cut02.csv
2.000022601;0.123330757;-0.194156051;0.073830605;0.241574017;sample_02_Gras_combo1_cut03.csv
3.000022415;3.08400321;-0.294596911;-1.663783073;3.51653768;sample_02_Gras_combo1_cut04.csv
4.000021152;0.29201445;-0.726781607;0.216191292;0.81254084;sample_02_Gras_combo1_cut05.csv
5.000024044;-0.484166205;2.635927916;2.444507599;3.627416476;sample_02_Gras_combo1_cut06.csv
6.000036627;0.473818839;-0.28921625;-0.776018143;0.954124986;sample_02_Gras_combo1_cut07.csv
7.000022903;2.278824806;0.351089895;-2.434296608;3.352925079;sample_02_Gras_combo1_cut08.csv
8.000022563;-0.173198402;-1.703664541;0.014328957;1.71250573;sample_02_Gras_combo1_cut09.csv
9.000022454;-0.196968734;-1.00439775;2.130121231;2.36326638;sample_02_Gras_combo1_cut10.csv
10.00002134;-0.336092293;-0.029817045;0.722923279;0.797787662;sample_02_Gras_combo1_cut11.csv
11.00002277;0.957491756;-1.300553441;0.053845406;1.615898834;sample_02_Gras_combo1_cut12.csv
12.00002113;-0.638095021;0.357448161;-3.132441521;3.216694627;sample_02_Gras_combo1_cut13.csv
13.00002286;1.519056797;-1.471164346;1.72173214;2.726943279;sample_02_Gras_combo1_cut14.csv
14.0000206;-0.343213797;-0.340991288;-0.358150482;0.601948949;sample_02_Gras_combo1_cut15.csv
15.00002057;-0.569126129;-0.114859939;-1.305641174;1.428914354;sample_02_Gras_combo1_cut16.csv
16.00002261;-0.880600035;0.630132854;-2.611598492;2.827184203;sample_02_Gras_combo1_cut17.csv
17.0000215;-0.951282978;0.880294681;-1.711585999;2.146947754;sample_02_Gras_combo1_cut18.csv
18.00004159;-1.744979858;1.757542372;0.439049721;2.515288165;sample_02_Gras_combo1_cut19.csv
19.00004081;-0.000707775;-0.84026891;0.10508728;0.84681502;sample_02_Gras_combo1_cut20.csv
20.00004065;0.440446913;0.015503466;0.024681091;0.441410237;sample_02_Gras_combo1_cut21.csv
21.00004102;-2.912567377;1.017791748;-0.938741684;3.224931738;sample_02_Gras_combo1_cut22.csv
0;-0.001824588;0.003924429;0.060809135;0.06096295;sample_03_Kiesel_combo1_cut01.csv
1.000000215;0.127772689;0.172527194;0.026491165;0.216317532;sample_03_Kiesel_combo1_cut02.csv
2.007995276;0.277407348;-0.225559175;-0.086891174;0.367942733;sample_03_Kiesel_combo1_cut03.csv
3.007996799;-1.099775791;1.939316034;1.105632782;2.48854924;sample_03_Kiesel_combo1_cut04.csv
4.007995862;1.212543726;0.389874071;0.270867348;1.302164812;sample_03_Kiesel_combo1_cut05.csv
5.000000154;0.221628428;0.152699381;-1.315526009;1.342775089;sample_03_Kiesel_combo1_cut06.csv
6.007996523;1.133595347;0.155135393;-1.686955452;2.038363093;sample_03_Kiesel_combo1_cut07.csv
