"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.898291637E-3,-2.549254462E-1,-1.899058700E-2,1.241948605E-2,2.559333295E-1
1.185229165E-2,-2.271331917E-1,-3.794842958E-3,3.862085938E-3,2.271977185E-1
2.180629165E-2,-2.186829418E-1,-3.120658994E-3,7.696397603E-3,2.188405860E-1
3.175929165E-2,-2.059405433E-1,2.877473295E-2,2.391014189E-2,2.093112216E-1
4.171329166E-2,-1.985271509E-1,5.618998826E-2,5.208699703E-3,2.063915574E-1
5.166729167E-2,-1.935570176E-1,5.729628146E-2,-1.583425999E-3,2.018655250E-1
6.162029167E-2,-1.812471668E-1,6.423341811E-2,-5.067197084E-3,1.923594135E-1
7.157429168E-2,-1.692532119E-1,4.617019951E-2,-9.888226390E-3,1.757160041E-1
8.152829169E-2,-1.644080628E-1,2.348709583E-2,-3.238188028E-3,1.661088217E-1
9.148229170E-2,-1.597922708E-1,2.904487431E-2,9.935004115E-3,1.627141015E-1
1.014352917E-1,-1.606962503E-1,2.921444356E-2,1.875962198E-2,1.644040511E-1
1.113892917E-1,-1.561905321E-1,4.944873333E-2,2.685976982E-2,1.660183929E-1
1.213432917E-1,-1.782009137E-1,4.049138367E-2,2.000741780E-2,1.838352919E-1
1.312962917E-1,-1.739289379E-1,2.271292448E-2,1.250427067E-2,1.758508151E-1
1.412502916E-1,-1.719933634E-1,1.212303221E-2,1.844679594E-2,1.734040635E-1
1.512042916E-1,-1.750578891E-1,-1.658855081E-2,2.288658679E-2,1.773252390E-1
1.611582916E-1,-1.617812012E-1,-9.863668084E-3,2.915246308E-2,1.646824675E-1
1.711112916E-1,-1.810672188E-1,7.320129275E-3,3.304612398E-2,1.842036056E-1
1.810652916E-1,-1.898183079E-1,3.978562474E-2,3.939035296E-2,1.979027182E-1
1.910192916E-1,-1.850099963E-1,5.069769859E-2,4.904176712E-2,1.980001270E-1
2.009722916E-1,-1.819001547E-1,5.708344281E-2,3.863664687E-2,1.945224311E-1
2.109262916E-1,-1.886878949E-1,2.665804088E-2,2.925946712E-2,1.927949410E-1
2.208802917E-1,-1.755461316E-1,-1.543606460E-2,1.406693906E-2,1.767840354E-1
2.308342917E-1,-1.669739673E-1,-1.647511482E-2,1.643126070E-2,1.685874298E-1
2.407872917E-1,-1.638633947E-1,-9.063184261E-4,1.613773048E-2,1.646586162E-1
