Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
6.007473375,-0.4344816714,2.253064923,-3.248372709,3.977059356
6.017427375,0.9683633045,-1.560845221,2.040247031,2.745281996
6.027381375,-0.1858809756,1.714036424,0.6632394388,1.847257197
6.037335375,-0.2570102527,-0.1308758891,0.002677440047,0.2884266579
6.047289375,-0.9282541095,0.264228074,-2.185227866,2.388868559
6.057242375,0.3377664952,-2.181741756,-3.18104699,3.872098042
6.067196375,-0.1930880344,-3.012348679,-3.665213696,4.748191128
6.077150375,-0.9539271138,-2.582444428,-4.261899834,5.073734951
6.087104375,-0.46584398,-0.803087588,-2.807449671,2.956980545
6.097058375,-0.3125520954,-0.8401495796,1.306531686,1.58447631
6.107011375,-1.276427735,1.144643335,-0.0906274572,1.716883648
6.116965375,-0.06817590326,0.6962332302,-2.167876838,2.277954927
6.126919375,-0.08241310593,0.1441169089,-1.477106661,1.486406974
6.136873375,0.02660245579,0.2694063681,0.2975841004,0.4022981216
6.146827375,0.2481105529,0.9272994053,0.8481032547,1.280906774
6.156780375,-0.1050975618,3.003269708,0.08130904198,3.006207843
6.166734375,-0.07487809148,3.180178971,0.876966573,3.299729593
6.176688375,0.2156335092,2.646734564,1.19139007,2.910517473
6.186642375,-0.07638791565,0.6401134086,-0.5616642398,0.8550128699
6.196596375,-0.07107787639,0.1156976867,-2.301143946,2.305146737
6.206549375,-0.09020433806,0.5989794159,-2.718465282,2.785133148
6.216503375,0.09976011369,-1.260051584,0.3678746492,1.316439833
6.226457375,-0.3085444868,-0.4219432676,-0.7476299635,0.9122425027
6.236411375,-0.6245798416,1.332417895,-0.5353073305,1.565883572
6.246365375,0.6617435749,1.989385902,0.1804360119,2.104309384
6.256318375,0.5207794481,-0.4173836088,2.94345503,3.018169615
6.266272375,-0.245604619,0.01114771664,0.4305550468,0.4958059588
6.276226375,-0.2714961996,-0.02358532906,-1.87089617,1.890639821
6.286180375,0.7328774384,-1.774855068,-1.307832107,2.323283167
6.296133375,-0.3958115492,-0.4931582612,-1.293064087,1.439404941
6.306087375,-0.5225908059,-1.268472744,-1.031390661,1.716359796
6.316041375,-0.7035701703,-1.718111349,0.4772082263,1.916936432
6.325995375,-0.5623816931,-1.438518546,0.6187240013,1.663859419
6.335949375,-0.2317312593,-0.9339313173,-0.01429468811,0.9623572207
6.345902375,-0.5210071241,0.5042632931,-2.809679799,2.901728876
6.355856375,-0.05638594307,-0.3807776999,-1.509498482,1.55780509
6.365810375,0.4052182208,-0.9566378099,-0.7991778472,1.310741369
6.375764375,-0.3893985423,0.633184458,-2.219460974,2.340632564
6.385718375,-0.2022720002,0.4540637773,-1.56145684,1.63866877
6.395671375,-0.2097482136,0.4645577753,-0.2842422161,0.5836110666
6.405625375,-0.08212977178,1.862684925,-0.5813351503,1.95302099
