Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
10.00890267,-0.5015628662,0.6455828941,0.2990040967,0.8704860894
10.01885667,-0.7616051743,0.5939443785,-1.094185957,1.459470888
10.02881067,-0.2513060197,-1.014394267,0.1113608068,1.050976534
10.03876467,0.09969731094,-1.197556543,1.864968848,2.218600917
10.04871867,-0.3115865739,-0.5181983775,1.321081898,1.452884418
10.05867267,-0.4831173859,0.0553859961,-0.3939391977,0.6258259411
10.06862567,-0.09031532552,-0.3360640419,0.06367500901,0.3537660315
10.07857967,-0.04636847494,-0.8434023857,1.012902058,1.318881419
10.08853367,-0.150157375,-0.2775784367,0.4667124742,0.5633982245
10.09848767,-0.5045957804,1.061207076,0.07688620806,1.177577534
10.10844167,-0.8518978053,0.8746241784,0.782140815,1.449979855
10.11839467,0.273429892,-1.639403733,3.266166371,3.664730722
10.12834867,-0.3315450212,-0.6217274237,-0.1337521344,0.717186673
10.13830267,-0.6170701164,0.5514257652,-2.864474642,2.981620512
10.14825667,-0.1109003751,-1.034933782,-0.03043271095,1.041303498
10.15821067,-0.3971556048,-1.500875008,2.727880468,3.138740227
10.16816467,-0.08208242761,-0.6427025557,2.059100793,2.158633868
10.17811767,-0.3332748469,-1.091260595,0.1284566036,1.148225983
10.18807167,-0.2578466238,-0.916932292,-1.296987861,1.60916973
10.19802567,0.0618283304,-0.7130971849,-0.00613022089,0.7157987966
10.20797967,-0.06924049851,2.345735689,-0.7571559548,2.465878203
10.21793367,-0.3134675501,1.030241976,0.8304417399,1.359887465
10.22788667,-0.6966570803,1.260245712,-0.009346189499,1.440013088
10.23784067,-0.9443282515,0.2314953607,-0.9176134926,1.336922014
10.24779467,-0.8844092014,-1.770216472,-1.034775907,2.233071242
10.25774867,-0.6723480121,-2.339896075,1.23907499,2.73175261
10.26770267,-0.6209188999,0.1578426629,1.567323352,1.693209105
10.27765667,-1.013311071,1.560823002,0.7811847952,2.018221359
10.28760967,-0.8087248155,1.238889341,0.3140554145,1.512452786
10.29756367,-0.5193912095,-0.1796480995,-0.03415475607,0.5506425479
10.30751767,-0.5389404614,-0.9780567455,-0.1859625077,1.132092696
10.31747167,-0.553761874,-0.4542158049,0.04878390491,0.7178746965
10.32742567,-0.7094839711,0.308731817,1.053580845,1.307178426
10.33737967,-0.6485448012,0.5244853038,1.649853877,1.848705766
10.34733267,-0.5512978573,0.305451529,0.1474773037,0.647286273
10.35728667,-0.5880843721,-0.07334045649,-0.9601306441,1.128305324
10.36724067,-0.4887702913,-0.2606834918,-0.3175505877,0.6385065828
10.37719467,-0.1556901019,-0.1882540315,0.5053193003,0.5612722899
10.38714867,-0.1255960817,0.1480760586,0.5910160929,0.6220939776
10.39710167,-0.2754854076,0.5627038747,0.2852666482,0.6884075254
10.40705567,-0.02442820519,0.2857335484,0.2003519207,0.3498303732
10.41700967,0.3392517246,0.2575107926,0.7285127842,0.8438805708
10.42696367,-0.1005795096,0.394805755,-0.1280554846,0.4270667736
10.43691767,0.008610230614,-0.4248814934,-0.2095817506,0.473838506
10.44687167,0.2165521433,-0.6925494844,-0.5799750879,0.9289191147
10.45682467,-0.01694420313,-0.4517342466,-0.7204959592,0.8505676709
10.46677867,-0.1787807565,-0.08614001155,0.1982422453,0.280504275
10.47673267,0.0864780537,0.3997565925,0.8769502008,0.9676391072
10.48668667,-0.2029956296,0.5251811224,0.3207504764,0.6479994638
10.49664067,-0.5378183807,0.2280776632,-0.09506344736,0.5918657703
10.50659467,-0.3135502516,-0.6337083685,-0.6793283451,0.9805034712
10.51654767,-0.1182887889,-1.27242897,-0.9632784927,1.600304089
10.52650167,-0.4236616181,-1.110468698,-1.032785222,1.574571437
10.53645567,-0.7463750779,-0.6691752398,-0.7160313177,1.231897766
10.54640967,-0.5316646613,-0.2640000325,-0.07526535988,0.5983545802
10.55636367,-0.386162547,-0.02399814248,0.3168284565,0.5000776884
10.56631667,-0.5860726375,0.3712175024,0.1421200848,0.7081537185
10.57627067,-0.426517252,0.6212111145,1.320158038,1.52007811
10.58622467,-0.2335643432,0.6198101217,0.6699669528,0.9421107192
10.59617867,-0.3311561083,-0.5600515777,-0.5930766517,0.8803760858
10.60613267,-0.5481703644,-1.078155815,-0.370731014,1.265050274
10.61608667,-0.4229094103,-0.1029659593,0.9548927084,1.049416239
10.62603967,-0.099598292,0.1469229877,0.9889571249,1.004759861
10.63599367,-0.2390576926,0.238861683,0.2967005861,0.4497051499
10.64594767,-0.1072306352,0.4732479072,0.2028641769,0.5259428344
10.65590167,0.02214350617,0.4602109551,0.5644858137,0.728648538
10.66585567,0.2652594497,0.3452909482,0.1897439021,0.4749643807
10.67580967,0.1807160935,0.262190904,0.2400609469,0.3987877065
10.6857625,0.1802449906,-0.1309869862,0.6712238118,0.7072391765
10.6957165,0.2663098837,-0.3591295534,0.7417900568,0.8661105465
10.7056705,0.08467126407,-0.7646854144,0.09872468144,0.7756671765
10.7156245,0.3019576167,-0.6553658706,0.2378220481,0.759764538
10.7255785,0.3409113836,-0.3339473498,1.169057799,1.262710395
10.7355315,0.06161746519,-0.08665982902,1.243116294,1.247655705
10.7454855,-0.09155924756,0.07227918684,0.5099222285,0.523094691
10.7554395,-0.2075494047,-0.2611729038,0.2744001827,0.4319531239
10.7653935,-0.1608697117,-0.4103687042,0.4798409352,0.6515587929
10.7753475,0.008804865237,-0.7400265366,0.6002526471,0.9529008557
10.7853015,-0.05341853594,-0.9134993917,0.7638264585,1.191958698
10.7952545,0.1736999098,-0.4500718832,0.8415309843,0.9700055445
10.8052085,0.1912406431,-0.2514483994,0.7622108728,0.8250846597
10.8151625,0.3166102457,-0.4392738301,0.5069126666,0.7417304072
10.8251165,0.5058350978,-0.2163206667,0.7464631516,0.9272923022
10.8350705,0.4680422407,-0.03716373324,1.0756611,1.173665832
10.8450245,0.6428500517,-0.07363924921,0.7127720797,0.9626645135
10.8549775,0.6659200948,-0.3896444178,-0.1337983274,0.783054492
