Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.002144917,-0.4420098884,0.00430705905,0.06716053426,0.4471038242
2.012098917,-0.5039969525,0.03153520346,-0.004426342249,0.50500197
2.022052917,-0.4298215136,0.0186111027,0.04382838964,0.4324509619
2.032005917,-0.285665136,0.01255572617,0.07800361097,0.2963895739
2.041959917,-0.2177392012,0.02041496873,0.1183821434,0.2486794373
2.051913917,-0.3973756063,0.08276382923,0.1061532766,0.4195542182
2.061866917,-0.4131899858,-0.01742528737,0.1358211717,0.4352895538
2.071820917,-0.3778109689,-0.09592006445,0.1313094601,0.4113197799
2.081774917,-0.4359431098,-0.1365009105,0.1412839329,0.4781631973
2.091727917,-0.2332220435,-0.07187631369,0.1258335426,0.2745775055
2.101681917,-0.09707708225,-0.0192455256,0.1737356874,0.1999460908
2.111635917,-0.09401343361,-0.009165510535,-0.01165057719,0.09517493489
2.121588917,0.06631210327,-0.02985237479,-0.2582352626,0.2682795374
2.131542917,-0.08499191076,-0.05331198871,-0.1035173517,0.1441583683
2.141495625,0.2774940906,0.1079588968,-0.2047806019,0.3613767959
2.151449625,0.3941404881,0.1824547631,-0.2543477413,0.5033182278
2.161403625,0.3556672709,0.417389456,-0.3544476879,0.6529520113
2.171357625,0.4412352785,0.4182250232,-0.3845193332,0.7193440475
2.181310625,0.1594735976,0.3192837024,-0.5957646167,0.6944849815
2.191264625,0.1402896139,0.27914666,-0.7969503504,0.8559987702
2.201217625,0.1632051444,0.2652039742,-0.8059977472,0.8640610138
2.211171625,0.1019980989,0.3088470072,-0.7387506741,0.8071819154
2.221125625,0.08880502626,0.4503262371,-0.7872854877,0.9113168996
2.231078625,0.2165779442,0.465102151,-0.8713409668,1.011168184
2.241032625,0.2222409725,0.4393311328,-0.888877936,1.016123457
2.250986625,0.2637680443,0.4825280231,-0.9421443164,1.090890823
2.260939625,0.3650264704,0.4257889813,-0.9578470141,1.109960127
2.270893625,0.2835184769,0.3709385902,-0.956358313,1.064236528
2.280847625,0.3180861926,0.3073431033,-0.9266164505,1.026770011
2.290800625,0.3369380544,0.3068379039,-1.047985059,1.142781447
2.300754625,0.3029477513,0.363658222,-1.03027472,1.133794797
2.310708625,0.4301504195,0.4748453665,-0.9010547626,1.105625249
2.320661625,0.3997381738,0.614030149,-0.8524962679,1.124087861
2.330615625,0.4828813411,0.6517867899,-0.9194085878,1.226096473
2.340569625,0.551929649,0.6152446157,-1.044996255,1.33235485
2.350522625,0.5164756416,0.52632016,-1.09199559,1.317654874
