Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.009909958,-0.01757753424,1.187772397,-1.131779168,1.640742613
4.019862958,1.48224037,-0.1104638439,-1.385288419,2.031812683
4.029816958,2.710335021,-1.658595464,-1.747587163,3.626419133
4.039769958,3.032496138,-2.046082259,-0.9322756782,3.775132233
4.049723958,2.681991812,-1.342983229,-0.5207416239,3.044315337
4.059676958,2.399495429,0.6315618557,-0.768497799,2.597506026
4.069630958,2.246732388,2.611060116,1.108853697,3.618701131
4.079584958,3.126907328,3.029793847,2.28562602,4.917447153
4.089537958,2.976370761,1.935858736,1.23272813,3.758450558
4.099491958,1.881522608,0.6285710049,-0.8542668048,2.159861247
4.109444958,0.6091431923,-1.191780079,-2.335335832,2.691688807
4.119398958,1.176382971,-2.659094993,-2.399532412,3.76993619
4.129351958,1.637878487,-2.037541816,-1.478195997,3.003212613
4.139305958,1.233252333,-0.7550883794,-0.5159094849,1.5353281
4.149258958,1.191868007,0.3549441165,0.08236387968,1.246321981
4.159212958,0.1055119832,0.9847740269,0.6223942986,1.169738144
4.169165958,-0.1373207632,0.764262076,-0.3093907982,0.8358685177
4.179119958,0.5038996694,-0.1671993774,-1.009971726,1.141014196
4.189072958,0.4202932564,-0.3749872023,-0.4874554718,0.744899094
4.199026958,0.1521656013,1.189407279,1.548423396,1.958432807
4.208979958,-0.2360743884,2.928332961,2.90302475,4.130183743
4.218933958,0.3872022551,2.68928943,1.838495286,3.280589603
4.228886958,1.391935679,0.6095418262,-0.1009170949,1.522895411
4.238840958,1.747812719,-2.075010189,-1.349128652,3.029961173
4.248793958,0.8187303516,-4.085100498,-2.445578066,4.83106795
4.258747958,1.472582963,-4.211892691,-3.011193269,5.382919796
4.268700958,1.442647996,-3.485140504,-3.204637874,4.949458705
4.278654958,2.685016285,-2.26620537,-1.829325975,3.961241315
4.288608958,3.668640164,0.7561531574,2.45655212,4.47943485
4.298561958,3.752795923,4.459864336,6.885319794,9.021169315
4.308515958,2.049273231,4.687522754,6.448002443,8.230985715
4.318468958,3.767716556,6.54543869,-0.03937982798,7.552483463
4.328422958,1.924596122,1.829366321,-0.3865091407,2.683289154
4.338375958,-1.020925899,1.165461761,-3.02251231,3.396493997
4.348329958,0.2976420609,-2.722924953,-3.285838158,4.277808259
4.358282958,-0.03363172263,-3.061629013,-6.497967485,7.183194606
4.368236958,1.945060792,-2.661753137,-6.273785237,7.087211895
4.378189958,2.227642983,-1.861099745,-4.149731234,5.064223024
4.388143958,1.401332155,1.443607963,1.103690606,2.294748072
4.398096958,2.62287617,5.546857048,6.718136204,9.09837659
4.408050958,2.273420542,7.603961894,8.65903524,11.74595968
4.418003958,1.13158526,4.301444553,4.699828219,6.47080333
4.427957958,-1.014093063,-1.584280277,-4.715689377,5.077012412
4.437910958,1.497553205,1.501414706,-10.1501337,10.36928763
4.447864958,-0.3207205825,-2.388041464,-3.236950173,4.035275721
4.457817958,0.3784432722,-1.237987116,-4.506556692,4.688804179
4.467771958,1.342508142,-4.150390508,-3.685440092,5.710563733
