Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
8.0040215,1.024632303,-1.862722932,1.358163185,2.522739645
8.0139755,-2.037402068,0.8767695218,-1.957574418,2.958349131
8.0239295,1.41638742,-0.9414923519,2.003726199,2.628208487
8.0338835,-2.661757523,2.610934986,1.475288177,4.009789248
8.0438375,-0.8529275,1.706675364,0.2446179745,1.923555061
8.0537905,-1.090288641,2.189826116,-1.731955801,2.997288548
8.0637445,-1.186288301,0.4408046311,-1.497253827,1.960448336
8.0736985,-1.22847165,-0.9827947444,-1.103436544,1.921613986
8.0836525,-0.3148675197,-1.878159581,-3.432613504,3.92548856
8.0936065,1.029046659,-5.693397628,-3.500735613,6.762311987
8.1035595,1.450848424,-6.069544333,-1.461208959,6.40932611
8.1135135,1.872008018,-2.902835008,1.036940546,3.606398591
8.1234675,0.215312826,1.353509971,0.8769007918,1.627053734
8.1334215,-0.3784806213,4.792118332,-1.518874784,5.041292126
8.1433755,-1.960941537,6.177970423,-3.449245909,7.342336657
8.1533295,-3.40731494,3.868821346,-1.205919816,5.294508128
8.1632825,-1.714128225,0.4246236312,2.566638819,3.11547358
8.1732365,-1.206321154,-4.944500865,6.34404655,8.13327893
8.1831905,-2.138058231,-6.010942953,5.322172524,8.308324053
8.1931445,-0.9471363768,-4.72482799,1.762054344,5.130877348
8.2030985,-1.684749475,-5.034847949,-2.35719974,5.808998647
8.2130515,-1.963411693,-1.960773722,-8.51152987,8.952416422
8.2230055,-1.045241107,-2.72944226,-4.674013932,5.512602857
8.2329595,-1.446592674,-1.161288019,-0.4570294851,1.910522488
8.2429135,-3.282706097,0.8652774042,0.6227471781,3.451474809
8.2528675,-3.492555358,3.651746973,0.2525096691,5.059343833
8.2628205,0.7962630833,1.85577644,-0.9022464252,2.211784281
8.2727745,-0.2312255117,0.6477422708,-4.584359744,4.635664952
8.2827285,0.6347372592,2.847861825,-1.302345372,3.195201376
8.2926825,-1.454091143,5.586559643,7.425511889,9.405437603
8.3026365,-2.318050585,9.550160261,13.11407212,16.38773343
8.3125895,-1.28707186,10.57967601,10.81920252,15.18687729
8.3225435,1.051455089,4.239451788,2.065888533,4.831811741
8.3324975,1.028904352,-3.218737265,-3.514733847,4.875681261
8.3424515,-0.5802841864,-5.999074275,-3.835151324,7.143809038
8.3524055,-0.585744828,-4.371248029,-5.340997635,6.926554849
8.3623595,-1.438016563,-1.471812592,-6.91152643,7.211332854
8.3723125,-2.773140841,-0.5775692511,-4.70390139,5.490954803
8.3822665,-1.865245859,-0.7302190018,-0.06100663215,2.004016895
8.3922205,-2.176841789,-0.6067527044,0.9772860825,2.462087956
8.4021745,-2.529803992,-1.117323974,-0.06120046735,2.766236902
8.4121285,-1.192030925,-1.205843217,0.9709705049,1.953913844
8.4220815,-0.06789859906,0.05597539544,3.687385753,3.688435597
8.4320355,0.2342643097,3.773995296,4.441672771,5.833213288
8.4419895,0.5432042876,2.387812253,4.287665005,4.9376907
8.4519435,-3.57483533,5.00767126,-6.407685306,8.883391811
8.4618975,-3.934847813,2.199557052,-4.714941518,6.523170399
8.4718505,-2.502701855,2.01975634,-2.961618236,4.371969216
8.4818045,-3.323331674,-2.345927478,-1.224946948,4.248341344
8.4917585,-1.251404722,-6.768530433,-1.11982132,6.97373772
8.5017125,-2.03172369,-7.13246172,-2.242783179,7.74790215
8.5116665,-2.85733373,-6.633122951,-3.862557809,8.190361955
8.5216195,-1.836450661,-6.096110573,-3.926529272,7.480156901
