"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.179583254E-3,-1.000786042E-1,-1.930575192E-2,5.228960305E-2,1.145540993E-1
1.113358326E-2,-1.061429708E-1,-1.493905127E-2,4.627018690E-2,1.167494570E-1
2.108758327E-2,-9.266046099E-2,-3.266839385E-3,5.080645680E-2,1.057257269E-1
3.104158328E-2,-8.912428424E-2,-1.808660746E-2,3.435736209E-2,9.721466834E-2
4.099458328E-2,-4.226294383E-2,-2.101606250E-2,2.599233538E-2,5.388351142E-2
5.094858329E-2,-1.752856381E-2,1.124770403E-2,1.997993588E-2,2.886103313E-2
6.090258330E-2,2.877999544E-3,5.789328218E-3,2.773948342E-2,2.848294477E-2
7.085658330E-2,1.211141087E-2,7.914791107E-3,2.435862333E-2,2.833147935E-2
8.080958331E-2,3.611737400E-2,4.190699458E-3,3.758648694E-2,5.229503482E-2
9.076358331E-2,2.025914043E-2,-2.074592113E-3,3.087388337E-2,3.698558338E-2
1.007175833E-1,4.024068430E-2,6.597413421E-3,3.692838281E-2,5.501403452E-2
1.106715833E-1,3.332503617E-2,9.882379174E-3,2.874842048E-2,4.510755074E-2
1.206255833E-1,2.772223413E-2,2.637562037E-2,2.619201779E-2,4.637043682E-2
1.305785833E-1,2.157571413E-2,4.557904601E-3,3.442021966E-2,4.087832501E-2
1.405325833E-1,2.126274191E-2,-2.239483595E-2,4.464816928E-2,5.428712454E-2
1.504865834E-1,1.739305459E-2,-2.431973934E-2,3.908805192E-2,4.921223295E-2
1.604405834E-1,3.487060145E-3,-2.623060942E-3,2.894839525E-2,2.927540990E-2
1.703935834E-1,-1.513390973E-2,3.890152574E-3,4.556530505E-2,4.817017267E-2
1.803475833E-1,-2.692145795E-2,6.700324416E-3,2.349674374E-2,3.635596528E-2
1.903015833E-1,-4.484346628E-2,7.718324661E-3,1.448296845E-2,4.775212434E-2
2.002555833E-1,-7.277693108E-2,-1.368599296E-2,8.994771838E-3,7.459687675E-2
2.102085833E-1,-9.867571101E-2,-7.419531941E-3,2.177503109E-3,9.897821435E-2
2.201625833E-1,-1.057177321E-1,7.841116190E-3,2.756962180E-4,1.060084807E-1
2.301165833E-1,-9.777560525E-2,2.279244661E-2,-7.192075253E-5,1.003970606E-1
2.400705833E-1,-9.348316424E-2,1.876663864E-2,-2.367362201E-2,9.824321402E-2
2.500235833E-1,-9.647569612E-2,1.561791301E-3,-3.825190008E-2,1.037940605E-1
2.599775833E-1,-1.002525589E-1,-8.054539561E-3,-4.449731112E-2,1.099793702E-1
2.699315833E-1,-9.613962740E-2,1.482736945E-2,-3.867786974E-2,1.046836016E-1
2.798855833E-1,-6.588671833E-2,4.759808958E-2,-4.244318426E-2,9.169548339E-2
2.898395833E-1,-6.506321110E-2,4.806177378E-2,-5.072664231E-2,9.547956733E-2
2.997925833E-1,-8.918202549E-2,4.404298246E-2,-5.271235675E-2,1.125691367E-1
3.097465833E-1,-7.973263264E-2,3.359576225E-2,-4.140530348E-2,9.591854411E-2
3.197005833E-1,-7.840041764E-2,2.926063657E-2,-2.678492546E-2,8.786491092E-2
3.296545834E-1,-4.546224788E-2,6.991515756E-3,1.169443130E-5,4.599671088E-2
3.396075834E-1,-2.243423156E-2,9.559612870E-3,1.961156130E-2,3.129367797E-2
3.495615834E-1,-3.523576006E-2,-1.699961007E-2,4.437978208E-2,5.916173246E-2
3.595155833E-1,-5.679751396E-2,-1.137224972E-2,5.992109656E-2,8.334160707E-2
3.694695833E-1,-4.238807425E-2,-1.498816788E-2,8.211215705E-2,9.361517158E-2
3.794225833E-1,-3.806946695E-2,-9.938512444E-3,8.709807783E-2,9.557266087E-2
3.893765833E-1,-2.780460678E-2,-2.072662532E-2,1.014258027E-1,1.071908700E-1
3.993305833E-1,2.805128619E-3,-3.437519610E-2,7.623073518E-2,8.366987415E-2
4.092845833E-1,3.188194335E-2,-2.539972007E-2,8.105001032E-2,9.072325096E-2
4.192385833E-1,4.882001147E-2,-2.076814055E-2,8.797516018E-2,1.027343078E-1
4.291915833E-1,7.774479859E-2,-3.290637553E-2,5.898203373E-2,1.029852589E-1
4.391455833E-1,1.119306180E-1,-1.432567835E-4,6.591624677E-2,1.298977881E-1
4.490995833E-1,1.122537497E-1,-9.757248759E-3,5.084797204E-2,1.236188679E-1
4.590535833E-1,1.112974376E-1,-9.794086218E-4,3.576215565E-2,1.169059906E-1
4.690065833E-1,1.634890998E-1,1.557522833E-2,3.482718587E-2,1.678815248E-1
4.789605833E-1,2.260768191E-1,1.461511552E-2,2.166802704E-2,2.275825853E-1
4.889145833E-1,2.649338329E-1,3.220587909E-2,8.732231855E-3,2.670269768E-1
4.988685834E-1,3.046185932E-1,2.701998353E-2,-1.233820975E-2,3.060633892E-1
5.088215834E-1,3.111779997E-1,4.409911573E-2,-1.723232925E-2,3.147593250E-1
5.187755834E-1,3.412186548E-1,6.205883861E-2,-1.726565838E-2,3.472456951E-1
5.287295834E-1,3.405009091E-1,7.037240982E-2,-3.941725016E-2,3.499240843E-1
5.386835833E-1,3.182052565E-1,7.056770682E-2,-3.661000192E-2,3.279857905E-1
5.486375833E-1,2.673650321E-1,4.967034280E-2,-1.895024121E-2,2.725991837E-1
5.585905833E-1,2.328489912E-1,2.961614728E-2,-3.254033983E-2,2.369697081E-1
5.685445833E-1,1.948005742E-1,1.616053462E-2,-2.614757895E-2,1.972108579E-1
5.784985833E-1,1.650398545E-1,1.002037346E-2,-2.260855168E-2,1.668823180E-1
5.884525833E-1,1.354290428E-1,-4.997615218E-3,-2.739303589E-2,1.382619984E-1
5.984048333E-1,1.007891871E-1,-8.939808011E-3,-1.167805910E-2,1.018565534E-1
6.083588334E-1,4.965418987E-2,2.031264246E-2,1.422598332E-2,5.550243793E-2
6.183128334E-1,-1.782640636E-2,3.566743076E-2,1.450109482E-2,4.242909534E-2
6.282668333E-1,-8.176600188E-2,4.025691032E-2,2.768130362E-2,9.524994731E-2
6.382198333E-1,-1.568505366E-1,3.771454096E-4,2.159961462E-2,1.583312238E-1
6.481738333E-1,-2.178532219E-1,-2.180192828E-2,4.676603079E-2,2.238803520E-1
6.581278333E-1,-2.758450297E-1,-4.219526231E-2,3.487162471E-2,2.812240224E-1
6.680818333E-1,-3.340686064E-1,-6.302012086E-2,2.424021721E-2,3.408239392E-1
6.780358333E-1,-3.749509495E-1,-7.523963213E-2,2.645689666E-2,3.833395156E-1
6.879888333E-1,-3.870845068E-1,-5.762080193E-2,4.155937761E-2,3.935501925E-1
6.979428333E-1,-3.940131649E-1,-2.453433216E-2,3.658807486E-2,3.964681511E-1
7.078968333E-1,-2.475890178E-1,-4.336645961E-2,-1.040512025E-3,2.513604070E-1
7.178508333E-1,-1.469230608E-1,2.554063797E-2,-1.115444094E-1,1.862279927E-1
7.278038333E-1,1.336796290E-1,-6.472867727E-3,-3.502189815E-2,1.383425985E-1
7.377578333E-1,1.013329051E-1,2.063342071E-1,6.932575822E-2,2.401004444E-1
7.477118333E-1,-2.639759859E-1,1.284685904E-1,1.467347074E-1,3.282050794E-1
7.576658333E-1,-7.161800563E-1,-4.018615901E-2,-6.144371152E-2,7.199334206E-1
7.676188333E-1,-5.276485012E-1,-1.366371506E-1,-1.016860038E-1,5.544571175E-1
7.775728334E-1,-4.413798510E-1,-1.612691313E-1,4.016540140E-2,4.716324469E-1
7.875268334E-1,-2.384432416E-1,1.083138227E-2,-4.521067142E-3,2.387319383E-1
7.974808334E-1,-3.049874794E-1,2.049682975E-2,-1.985246658E-2,3.063194461E-1
8.074348333E-1,-3.446277277E-1,8.342690349E-2,-4.871636957E-2,3.579128436E-1
8.173878333E-1,-3.817617133E-1,6.264648378E-2,-2.844407290E-2,3.879119139E-1
8.273418333E-1,-2.377951509E-1,6.555722773E-2,3.306658924E-2,2.488728254E-1
8.372958333E-1,-2.656463161E-1,4.041010737E-3,2.258223921E-2,2.666350550E-1
8.472498333E-1,-2.845324572E-1,-6.558646381E-2,3.138960779E-2,2.936760306E-1
8.572028333E-1,-2.336604385E-1,-8.953782856E-2,-3.521953404E-2,2.526947543E-1
8.671568333E-1,-2.195306419E-1,-5.129119098E-2,1.953905582E-2,2.262880105E-1
8.771108333E-1,-1.683670664E-1,-4.392662287E-2,1.286735353E-1,2.164114043E-1
8.870648333E-1,-1.222028603E-1,-4.071708620E-2,1.629779801E-1,2.077335846E-1
8.970178333E-1,-7.776818745E-2,-3.006287456E-2,8.990561843E-2,1.226160170E-1
9.069718333E-1,3.532412611E-2,-8.016357243E-2,1.226400858E-1,1.507135789E-1
9.169258333E-1,1.404568443E-1,-7.236806452E-2,9.770902008E-2,1.857749027E-1
9.268798333E-1,3.407565055E-1,-5.888029218E-2,1.157792553E-1,3.646734441E-1
9.368338333E-1,3.440723884E-1,1.139154553E-2,4.400497556E-2,3.470619738E-1
9.467868333E-1,4.143763858E-1,4.840559006E-2,4.176256835E-2,4.192791461E-1
9.567408334E-1,3.851628924E-1,1.451395869E-2,1.233253795E-1,4.046853814E-1
9.666948334E-1,9.318334825E-2,-5.186597228E-2,9.249710441E-2,1.411698615E-1
9.766488334E-1,-1.954889376E-1,-1.168992895E-1,6.563265681E-2,2.370422204E-1
9.866018333E-1,-3.378813565E-1,-5.703140259E-2,8.301993728E-2,3.525743920E-1
9.965558333E-1,-3.199136668E-1,-6.385744214E-3,9.073387653E-2,3.325930971E-1
1.006509833E0,-6.451627716E-2,2.234922767E-2,6.337446213E-2,9.315664467E-2
1.016463833E0,1.033319219E-1,2.131777883E-2,-2.076463223E-2,1.075318731E-1
1.026417833E0,1.781449266E-1,-6.008364916E-2,2.379173577E-2,1.895038428E-1
1.036370833E0,1.969774926E-1,-2.510268152E-2,-6.386036575E-3,1.986732460E-1
1.046324833E0,1.520251219E-1,1.582782805E-2,-9.123410583E-3,1.531188899E-1
1.056278833E0,1.070226113E-1,9.208078265E-2,-1.386228651E-2,1.418621615E-1
1.066232833E0,1.399584422E-1,6.415974319E-2,-4.341733038E-2,1.599684431E-1
1.076185833E0,1.131845534E-1,4.059254050E-2,-1.357939821E-1,1.813794450E-1
1.086139833E0,1.180213702E-1,-1.094598770E-2,-1.164385289E-1,1.661529099E-1
1.096093833E0,6.404031381E-2,5.140287280E-2,-8.535473049E-2,1.184434344E-1
1.106047833E0,7.910880782E-2,9.269883335E-2,-3.900852978E-2,1.279567996E-1
1.116000833E0,9.597510137E-2,1.271295780E-1,-7.780012786E-2,1.772738265E-1
1.125954833E0,6.004074521E-2,9.998914182E-2,-9.213662356E-2,1.486333643E-1
1.135908833E0,6.652428411E-2,1.710252106E-2,-1.025101689E-1,1.233949404E-1
1.145862833E0,1.112775571E-1,-2.313626289E-2,-1.242930937E-1,1.684243287E-1
1.155816833E0,6.843332693E-2,-4.897043109E-3,-6.591858566E-2,9.514389734E-2
1.165769833E0,6.097206049E-2,4.341966927E-2,-2.924134076E-2,8.036115883E-2
1.175723833E0,3.071498528E-2,7.928415120E-2,1.214174330E-2,8.588835126E-2
1.185677833E0,-3.728389353E-2,5.993396044E-2,1.651926130E-2,7.249175349E-2
1.195631833E0,-8.352937594E-2,3.445530295E-2,1.173623890E-2,9.111566194E-2
1.205584833E0,-1.566471997E-1,-1.643418431E-2,-4.027562141E-3,1.575583982E-1
1.215538833E0,-2.485714231E-1,-4.210579991E-2,-3.697311401E-2,2.548090696E-1
1.225492833E0,-2.793915852E-1,-2.254803300E-2,-7.666284442E-3,2.804047853E-1
1.235446833E0,-2.788325914E-1,2.218024313E-2,4.379798412E-2,2.831216004E-1
1.245399833E0,-2.502661655E-1,4.922829330E-2,5.225481212E-2,2.603596433E-1
1.255353833E0,-2.214460436E-1,2.383968294E-2,2.642415226E-2,2.242875755E-1
1.265307833E0,-2.263380434E-1,-1.213414192E-2,9.966579080E-4,2.266652612E-1
1.275261833E0,-2.306559929E-1,-5.023752272E-2,-1.597137719E-2,2.366032135E-1
1.285215833E0,-2.120081989E-1,-3.727541506E-2,-3.924943507E-2,2.188091660E-1
1.295168833E0,-2.205211602E-1,-6.167643070E-3,-3.829341531E-2,2.239062473E-1
1.305122833E0,-2.119639794E-1,2.165925622E-2,-2.864492476E-2,2.149846126E-1
1.315076833E0,-2.068564365E-1,3.675676703E-2,-1.086617321E-2,2.103775629E-1
