Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
5.008773333,-1.056845053,3.266252325,4.131516865,5.371662435
5.018727333,0.8016313389,-3.524934899,-3.199106993,4.827221188
5.028681333,0.1763226418,-7.224687513,-8.328580433,11.02689672
5.038634333,0.3907001691,-10.01787086,-5.630023751,11.49815422
5.048588333,-1.306435207,-7.405861151,-7.251981146,10.44723805
5.058542333,-2.338869012,-4.935411953,0.1760833445,5.464394271
5.068495333,1.106409342,3.958533422,9.609230588,10.45138464
5.078449333,0.9553282528,11.32451539,13.67803373,17.78330418
5.088403333,0.3276426626,10.1296205,8.267704486,13.07943037
5.098357333,0.4655867756,6.340608972,1.422391341,6.514851518
5.108310333,0.3418393368,0.3097141492,-2.75294602,2.791323839
5.118264333,-0.6665453084,-1.326981738,-2.640116685,3.029088855
5.128218333,0.3273594381,-2.069814938,-3.097822108,3.740026724
5.138171333,-2.396427248,-2.06456063,-5.215681863,6.099886184
5.148125333,-3.760758954,-2.809285405,-7.269394739,8.653293724
5.158079333,-4.131683511,-4.184351721,-7.449284914,9.490598173
5.168033333,-3.600375676,-4.337305527,-6.65641592,8.722545336
5.177986333,-2.154079455,-3.76659389,-3.898416151,5.833089775
5.187940333,-2.152786344,-1.347648137,-0.5683970162,2.602637069
5.197894333,-3.670533493,4.536821296,5.638101679,8.114416438
5.207847333,-2.832766946,10.62550649,7.444962067,13.27981238
5.217801333,-1.234255715,8.801327233,5.668501353,10.54128341
5.227755333,0.3013517538,-1.284249117,-0.05231971622,1.320168938
5.237709333,-0.9326808903,-4.029036809,-9.920484309,10.74797842
5.247662333,-0.8595263752,-7.887837782,-2.349036443,8.274946687
5.257616333,0.4165932845,-3.499924604,3.226291283,4.778281871
5.267570333,-0.7187100734,2.328438456,4.713692552,5.306323331
5.277523333,-0.5315514446,3.7840566,4.751437499,6.097359231
5.287477333,-0.07940928161,4.297627491,2.689785566,5.070587173
5.297431333,1.104948927,0.06250381172,2.048605333,2.328433522
5.307385333,-1.542568579,2.930050873,-1.050951644,3.474077619
5.317338333,-0.2002784651,2.993076257,-1.536104775,3.370198039
5.327292333,-2.036691339,1.264536983,-1.212610785,2.686557334
5.337246333,-1.267215593,1.546761618,-1.222744009,2.343802418
5.347199333,-1.095120415,-0.2215726358,-4.015483548,4.168032063
