Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
8.00253025,-0.8780211914,6.555335103,4.133360492,7.799231275
8.01248375,1.144682438,-3.768545691,-1.291238878,4.144819942
8.02243775,1.255629627,-7.098652534,-7.034727849,10.0724808
8.03239075,1.162804713,-6.599883285,-3.3954027,7.512611641
8.04234475,1.254576836,-3.133112394,4.259406873,5.434418388
8.05229875,-0.5742198198,4.518406659,0.5199399707,4.584328164
8.06225175,-0.9272951661,5.615077098,-1.189326295,5.814074662
8.07220575,-2.040213409,1.030205138,-0.6728467065,2.382544034
8.08215975,-0.06999632422,0.8475363672,0.1028572011,0.8566195088
8.09211275,-0.8645155851,-0.02179900467,2.511492851,2.65621135
8.10206675,-1.45158912,-0.6607102257,-4.033076066,4.336974928
8.11202075,-1.663433743,-5.217501517,-3.839358981,6.688049886
8.12197375,-0.5388333477,-6.685853727,-7.37284134,9.96743552
8.13192775,1.404278567,-4.07158115,5.562241073,7.034791902
8.14188175,-0.6044559181,9.203781146,16.70581087,19.08295237
8.15183475,-0.8807485521,11.15496251,7.157415297,13.28297784
8.16178875,-0.7240956514,-0.3212933904,-8.183941367,8.222191938
8.17174275,-0.1538221174,-5.816955142,-16.87703255,17.85202666
8.18169575,0.3969326066,-19.54947907,-4.62168486,20.09227858
8.19164975,2.04683348,-3.188008978,11.30865424,11.92638206
8.20160375,-1.619661194,9.269949408,17.97214587,20.28677627
8.21155675,-3.222983806,11.95793725,2.02474577,12.54908297
8.22151075,-0.8151920553,2.995818601,-7.17218244,7.815348241
8.23146475,-0.4531572762,-9.207712814,1.660119249,9.367140583
8.24141775,1.349326873,-5.462153698,2.729611829,6.253525946
8.25137175,-0.5793587914,-2.637255058,0.3545886058,2.723325895
8.26132575,-3.310723908,1.062052583,-3.385831685,4.853112886
8.27127875,-0.5648818894,1.770431065,-1.506767247,2.392460082
8.28123275,-1.801790998,-5.364380651,6.038381013,8.275571027
8.29118675,-0.0931360589,2.81958586,4.210691381,5.068398233
