"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.302416600E-3,2.251721635E-2,-1.673999369E-2,7.637925446E-3,2.907903585E-2
7.652583416E-3,2.281734296E-2,-6.146593094E-3,4.799570024E-2,5.349765404E-2
1.760658331E-2,6.991828216E-2,-1.383217335E-2,3.675150454E-2,8.019082420E-2
2.756058332E-2,9.961095488E-2,-2.860282481E-2,5.944045544E-2,1.194723050E-1
3.751458332E-2,1.288264765E-1,-4.635555625E-2,3.719063044E-2,1.418740344E-1
4.746858333E-2,1.299359400E-1,-4.529370189E-2,4.079017639E-2,1.435224945E-1
5.742320837E-2,1.197424890E-1,-4.118778706E-3,5.053923905E-2,1.300363129E-1
6.737720838E-2,1.216955229E-1,-7.683241367E-3,6.937838316E-2,1.402932377E-1
7.733120839E-2,1.144495254E-1,-1.155117452E-2,6.397672534E-2,1.316250162E-1
8.728520840E-2,1.097142492E-1,-3.607498169E-2,4.195231050E-2,1.228764303E-1
9.723920841E-2,1.243761333E-1,-5.118184805E-2,3.896789163E-2,1.400267856E-1
1.071942083E-1,1.353014639E-1,-7.725750625E-2,6.555985898E-2,1.690363970E-1
1.171482083E-1,1.477746164E-1,-4.948615551E-2,7.157576680E-2,1.714914203E-1
1.271022083E-1,1.802939611E-1,-4.330681801E-2,7.032972515E-2,1.983120347E-1
1.370562083E-1,2.182348075E-1,-4.325360835E-2,4.509898961E-2,2.270049002E-1
1.470102083E-1,2.171374679E-1,-3.692458212E-2,4.892745405E-2,2.256235814E-1
1.569642083E-1,2.207125103E-1,-3.395478129E-3,4.641607493E-2,2.255659405E-1
1.669182084E-1,1.949186697E-1,-2.801985741E-3,7.145414472E-2,2.076218527E-1
1.768722084E-1,1.881085090E-1,-2.408877432E-2,5.867213130E-2,1.985132217E-1
1.868262084E-1,1.824400719E-1,-6.587180793E-2,5.828446090E-2,2.025353137E-1
1.967812084E-1,1.661980966E-1,-5.120172858E-2,6.771660447E-2,1.866251934E-1
2.067352084E-1,1.601494809E-1,-1.547231734E-2,1.222991931E-1,2.020998305E-1
2.166892084E-1,1.550516590E-1,2.844085693E-2,1.909039897E-1,2.475767206E-1
2.266432084E-1,1.416134966E-1,2.454134881E-2,2.117364496E-1,2.559081560E-1
2.365972083E-1,1.194472503E-1,-4.529662549E-2,2.105354315E-1,2.462612389E-1
2.465512083E-1,8.717089394E-2,-9.041023314E-2,1.983463258E-1,2.347637961E-1
2.565052083E-1,2.395110894E-3,-1.101054096E-1,2.053814033E-1,2.330460439E-1
2.664592083E-1,-3.952586219E-2,-9.808178008E-2,2.334050614E-1,2.562425648E-1
2.764132083E-1,-1.457393651E-1,-1.243463033E-1,2.234887683E-1,2.943623537E-1
2.863672083E-1,-2.254652186E-1,-1.294924378E-1,1.614533186E-1,3.060556001E-1
2.963222084E-1,-2.488359000E-1,-1.056931007E-1,1.410582304E-1,3.049389464E-1
3.062762084E-1,-3.086907403E-1,-4.831729710E-2,1.320827544E-1,3.392202653E-1
3.162302084E-1,-2.735244159E-1,-6.023801565E-3,1.429381102E-1,3.086797623E-1
3.261842084E-1,-2.148499092E-1,-4.473938584E-2,1.487689537E-1,2.651307182E-1
3.361382084E-1,-1.803286058E-1,-8.568451345E-2,9.544702470E-2,2.212925133E-1
3.460922084E-1,-1.256616436E-1,-1.417306602E-1,3.146240562E-2,1.920112280E-1
3.560462084E-1,-1.023047214E-1,-9.821158826E-2,-8.757959604E-3,1.420861498E-1
3.660002083E-1,-1.336716073E-1,-3.296777129E-2,4.230226636E-2,1.440293522E-1
3.759542083E-1,-1.493456445E-1,3.376357734E-2,4.235635310E-2,1.588652301E-1
3.859082083E-1,-1.594058978E-1,4.380441606E-2,-2.982547760E-2,1.679840059E-1
3.958632083E-1,-1.301298026E-1,3.564638078E-2,-1.180026591E-1,1.792458020E-1
4.058172083E-1,-1.353308096E-1,2.359234571E-2,-1.235411417E-1,1.847523762E-1
4.157712084E-1,-8.919298902E-2,6.004564226E-2,-8.433468372E-2,1.366499445E-1
4.257252084E-1,-2.021961691E-2,6.221905231E-2,-8.613182545E-2,1.081606894E-1
4.356792084E-1,4.111844273E-2,4.250633419E-2,-1.448861101E-1,1.564912128E-1
4.456332084E-1,1.109723690E-1,3.968095958E-2,-1.966930255E-1,2.292980408E-1
4.555872084E-1,2.307425683E-1,6.259561300E-2,-2.089683777E-1,3.175344492E-1
4.655412084E-1,2.632644163E-1,8.370347679E-2,-1.811034715E-1,3.303224066E-1
4.754952084E-1,2.528108189E-1,1.276950037E-1,-1.771530926E-1,3.340696670E-1
4.854492084E-1,2.776595486E-1,1.232973129E-1,-1.940784431E-1,3.605044997E-1
4.954042083E-1,2.444408952E-1,1.005276704E-1,-2.178371421E-1,3.425057433E-1
5.053582083E-1,2.150990371E-1,8.477761030E-2,-2.670122257E-1,3.532001807E-1
5.153122083E-1,1.819692432E-1,9.409222484E-2,-2.118256196E-1,2.946799032E-1
5.252662083E-1,1.885058273E-1,1.082658756E-1,-1.882046226E-1,2.875359572E-1
5.352202083E-1,1.422961590E-1,6.553559303E-2,-1.606449410E-1,2.243878515E-1
5.451742084E-1,1.667276716E-1,3.464826107E-2,-1.979384825E-1,2.611096729E-1
5.551282084E-1,2.176239928E-1,3.967803597E-2,-2.079758129E-1,3.036255712E-1
5.650822084E-1,1.461677650E-1,4.035338938E-2,-1.968818906E-1,2.485073246E-1
5.750362084E-1,4.903933687E-2,-1.719835693E-1,-3.868281063E-1,4.261680285E-1
5.849912084E-1,5.705933766E-1,-5.752362120E-1,-6.575661778E-2,8.128944789E-1
5.949452084E-1,-1.755733760E-1,6.392760873E-1,5.271440327E-2,6.650404006E-1
