Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.000482208,-0.06748929396,0.3845357054,-0.5284956166,0.6570617401
2.010435208,0.4761225446,0.3859378678,-0.9589527225,1.138082176
2.020389208,0.3289911036,0.3510276514,-1.263564299,1.352054103
2.030343208,0.3338780603,0.353884601,-1.350695706,1.435648899
2.040296208,0.5019527659,0.4905381238,-1.431462126,1.594260973
2.050250208,0.6447913273,0.5678558564,-1.559249516,1.780301992
2.060204208,0.967240566,0.7805027175,-1.791499168,2.180414656
2.070157208,1.297795946,0.9557379234,-2.022035293,2.585795046
2.080111208,1.265668127,1.079677845,-2.153098585,2.720928807
2.090064208,1.314651715,1.134943389,-2.208874883,2.809899264
2.100018208,1.333985679,1.10075121,-2.059934898,2.689703107
2.109972208,1.283886589,1.196541467,-2.133838441,2.762850475
2.119925208,1.277361681,1.329210697,-2.176385706,2.852211192
2.129879208,1.267752513,1.186136346,-1.994153137,2.644005031
2.139833208,1.383859944,1.160579921,-2.006732252,2.699812666
2.149786208,1.506520641,1.123119149,-1.844515872,2.633104606
2.159740208,1.706143122,1.301267438,-2.330543454,3.16791005
2.169694208,1.490739152,0.5204051167,-2.022414485,2.565791311
2.179647208,1.428151433,0.6496630812,-2.055471718,2.585854331
2.189601208,1.506324321,1.071513378,-1.848320655,2.614085523
2.199555208,1.374144064,1.189086851,-1.81323473,2.567103355
2.209508208,1.471340868,0.7514443946,-1.583454065,2.288414168
2.219462208,-0.009330255836,0.1066923898,-2.077330365,2.080089364
2.229416208,0.5430389576,0.645723812,-2.672842382,2.802844439
2.239369208,0.4052282707,0.7399470145,-1.909868447,2.087900625
2.249323208,-0.1914048037,1.29054306,-1.587720779,2.054992569
2.259276208,0.3556813042,0.9082012296,-1.012169109,1.405640413
2.269230208,0.5604952352,0.974848963,-1.729774205,2.063153947
2.279184208,0.606579773,0.6886587471,-2.118781276,2.308987654
2.289137208,0.9874254468,0.2245020908,-1.913270357,2.164720227
2.299091208,0.5518227911,0.3712689579,-2.005208468,2.112631068
2.309045208,0.7824783455,0.4357713479,-1.695414796,1.917446312
2.318998208,0.9883010674,0.7610876226,-1.696684227,2.105880038
2.328952208,0.5254549183,0.5320843452,-1.687150342,1.845451949
2.338906208,0.5463071126,0.7964814037,-1.578014401,1.850125276
2.348859208,0.2568497649,0.7879953396,-1.253532524,1.502748231
2.358813208,0.782332896,0.8758550173,-1.397539797,1.825454534
2.368766208,-0.3152963398,0.5941151172,-2.734814389,2.81630863
2.378720208,0.1583959557,0.3119127023,-2.479119449,2.503679703
2.388674208,0.3009857181,1.1336494,-1.921142756,2.250898233
2.398627208,0.8133269396,1.564989143,-1.25479026,2.164530047
2.408581208,0.3548685412,1.156011491,-1.405292913,1.853953187
2.418535208,-0.288256622,0.2385745847,-2.160792644,2.192951108
2.428488208,-0.04622896403,-0.1246205378,-2.674935392,2.678235753
2.438442208,-0.1840561692,0.7334250301,-2.687946032,2.792282725
2.448396208,-0.6671845552,1.618897548,-1.927079434,2.603766435
2.458349208,-0.9066726212,1.721461219,-1.562876836,2.49560974
2.468303208,-1.502970796,0.6952245855,-2.562500452,3.051010817
2.478257208,-1.868361695,0.3267260385,-3.442568973,3.930496974
2.488210208,-1.739646498,0.2282758838,-2.660254496,3.186759137
2.498164208,-1.877010457,0.8847632504,-1.770874869,2.727997813
2.508117208,-1.394844085,2.059565354,-1.622020546,2.969570696
2.518071208,-1.022088618,2.328388755,-2.206000684,3.366377631
2.528025208,-0.4006154023,2.406987612,-2.715195811,3.650530148
2.537978208,-0.8069281854,1.553167827,-2.000521047,2.658109828
2.547932208,-1.63893274,0.4243219149,-1.34186144,2.160264275
2.557886208,-1.810037326,0.3145141286,-1.316940899,2.26041757
2.567839208,-1.412251392,-0.256069454,-1.94162643,2.41452661
2.577793208,-1.672649539,-1.575654464,-2.95217089,3.741090274
2.587747208,-0.7679693569,-1.230990922,-2.498148043,2.88892008
2.597700208,0.07190072581,0.198100158,-1.063887439,1.084559759
2.607654208,1.156806128,2.057512397,-0.4431756771,2.401658252
2.617607208,2.118470351,2.424947335,-0.2187937465,3.227407149
2.627561208,1.586182961,1.658513603,-0.4080280638,2.33090769
2.637515208,1.357148839,0.8891393065,0.008944485784,1.622498592
2.647468208,0.2387558484,-0.08163940966,0.1905408776,0.3161885108
2.657422208,0.06602061957,-0.8975546193,0.6431802732,1.106184379
2.667376208,-0.1455184865,0.02811984479,1.191949941,1.201129059
2.677329208,0.1605958244,0.6691126746,0.3578376111,0.7755968966
2.687283208,0.9298417747,0.6946457112,-0.4786226678,1.255475228
2.697237208,0.586876118,0.8390175587,-1.423974767,1.753875189
2.707190208,0.9377935494,0.9733093911,-1.171053746,1.788338555
2.717144208,0.07445581287,0.7426355642,-0.6062875584,0.9615798733
2.727098208,0.5642590148,0.987793529,-0.4313976306,1.216646295
2.737051208,-0.1382636268,0.3713981813,-1.125719991,1.19343996
2.747005208,-0.02209041528,-0.618645941,-2.30850559,2.390064611
2.756958208,-0.1315287307,0.9627060503,-2.368131695,2.559716873
2.766912208,-0.2430438309,2.39651291,-1.657240957,2.923831736
2.776866208,-0.4261548708,2.303842143,-1.636258516,2.85773311
2.786819208,-0.9690193621,0.898538121,-1.787322502,2.222811509
2.796773208,-0.3408142468,-0.5168956178,-2.495901543,2.571548161
2.806727208,-0.06948224433,-0.8294158459,-3.273140345,3.377307529
2.816680208,-0.785923598,1.16806962,-3.557560316,3.826002867
2.826634208,-1.221579317,2.750705659,-2.946327183,4.211826388
2.836588208,-1.391205508,5.322788236,-2.935264835,6.235648084
2.846541208,0.9380782358,3.042952421,-1.976193707,3.747651502
2.856495208,0.3265612201,-2.15594384,-7.659426827,7.963765152
2.866449208,1.477630864,-1.217662779,-5.809343237,6.116744596
2.876402208,-0.4496609701,0.6738448262,-2.711295134,2.829731991
2.886356208,-2.376135948,5.392596974,-1.473361227,6.074283289
2.896309208,-3.685989438,5.606888657,0.6440588173,6.740810805
2.906263208,-3.597062643,3.995488994,-1.716232054,5.643424884
2.916217208,-0.6118663868,4.637302188,-6.734268088,8.199348678
2.926170208,-1.289992398,2.408372233,-6.766685051,7.297421722
2.936124208,-1.392427869,-1.948732551,-4.472677925,5.073584703
2.946078208,-2.642561114,-0.9450246549,-5.353487288,6.044503865
2.956031208,-2.393779337,2.064834865,-0.9128041577,3.290430665
2.965985208,-1.464262667,2.652172474,1.708939699,3.478298274
2.975939208,0.9575524606,0.6882213753,0.4231752759,1.252849828
2.985892208,-2.151566615,0.3733189917,-3.272274957,3.93400424
2.995846208,-1.526610358,0.7864692163,-2.554844985,3.078360913
