Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.003098583,-0.04222084388,-0.1306145185,-0.1904040527,0.2347263415
1.013053583,-0.07582735039,-0.2257580727,-0.2580072212,0.351118528
1.023008583,-0.1254168189,-0.1313886899,-0.2115087005,0.2787979496
1.032963583,-0.08058036927,0.0646129024,-0.08952496469,0.1366848286
1.042918583,-0.1697677669,0.1856292164,0.04115445793,0.2548979994
1.052873583,-0.1832661373,0.192423681,0.02472904444,0.2668798901
1.062827583,-0.1530273712,0.1005995911,-0.04831203461,0.1893982755
1.072782583,-0.1693352922,-0.01793750346,-0.1277619544,0.21288333
1.082737583,-0.1744385228,-0.0974017489,-0.1088058659,0.2274964074
1.092692583,-0.1378814747,-0.1562715161,-0.04188945293,0.2125719033
1.102647583,-0.155869922,-0.1615918976,-0.05115553558,0.230269978
1.112602583,-0.1641147884,-0.1104194051,-0.1176740456,0.2301592705
1.122557583,-0.105758151,-0.006093383431,-0.05964043021,0.1215684858
1.132511583,-0.1131636496,0.1151334304,0.006980990767,0.161587291
1.142466583,-0.09683179155,0.1743043292,0.01244112074,0.1997828233
1.152421583,-0.07806668781,0.1201830858,-0.01069981992,0.1437110573
1.162376583,-0.04975392144,-0.01493671238,-0.0655142507,0.08361025726
1.172331583,-0.002963770889,-0.1131810451,-0.1433047307,0.1826334546
1.182286083,0.00768978294,-0.1289416301,-0.1611799613,0.2065527939
1.192241083,0.02738682322,-0.06290610015,-0.09128088355,0.1141902589
1.202195083,0.04667737238,0.02604349852,-0.03586565137,0.06436913745
1.212150083,0.04561888017,0.09167323172,-0.05219136983,0.1149304256
1.222105083,0.05554569818,0.1181412381,-0.07969813406,0.1529525067
1.232060083,0.1484404133,0.07501743793,-0.06744324714,0.1794735743
1.242015083,0.2449196908,0.02668318391,-0.03882960498,0.2494100749
1.251970083,0.299745816,-0.02496293306,-0.0652824086,0.307786444
1.261925083,0.3816505431,-0.07110565066,-0.05486442447,0.3920755739
1.271879083,0.4902105336,-0.1278967327,-0.009411678314,0.5067075302
1.281834083,0.4932995445,-0.3751287049,0.08995736629,0.6262254495
1.291789083,0.3268567968,-1.552983055,-0.7620930514,1.760504915
1.301744083,1.378201593,0.132703144,-0.4228741443,1.447712782
1.311699083,1.691335194,0.7452346516,0.6206667387,1.949670902
1.321654083,1.356975908,1.864318637,0.1273447555,2.309390457
1.331609083,1.415246043,1.687953749,0.133310962,2.206780695
1.341564083,0.5209321701,0.7681966674,-0.2059760651,0.9507484342
1.351518083,1.122446427,-0.4917309558,-0.1439666355,1.233860489
1.361473083,1.261592033,-1.596811445,-0.09856008232,2.037433517
1.371428083,1.241691181,-1.178654249,-0.8537390935,1.913084752
1.381383083,0.7276971707,-0.7000070232,-0.4027854502,1.087101248
1.391338083,1.237068957,0.4226876181,0.1724694729,1.318616755
1.401293083,0.7116049755,0.8159315819,0.5220189482,1.201927523
1.411248083,0.4085891772,1.11275379,0.1488338578,1.194703993
1.421202083,-0.07361396,0.3450149596,0.5576360929,0.6598578252
