"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.256124979E-3,1.391958922E-2,8.707088828E-3,-2.835782647E-2,3.276789102E-2
7.698875037E-3,1.387120351E-2,2.358182073E-3,-2.191477954E-2,2.604282765E-2
1.765487506E-2,2.034290180E-2,-8.756205440E-3,-1.565942824E-2,2.712420469E-2
2.760987508E-2,4.467780735E-2,-1.555067003E-2,-2.074475169E-2,5.165534368E-2
3.756487509E-2,7.454695635E-2,-1.227213621E-2,-6.161211133E-3,7.580115138E-2
4.752087500E-2,8.026399836E-2,-2.068335593E-2,5.259570479E-4,8.288779932E-2
5.747587502E-2,9.178710625E-2,-1.622719288E-2,8.256560862E-3,9.357545329E-2
6.743087503E-2,1.129156546E-1,-1.910343826E-2,1.612925202E-2,1.156505044E-1
7.738687505E-2,1.307028115E-1,-3.425532818E-2,2.937875032E-2,1.382742326E-1
8.734187507E-2,1.546478539E-1,-3.760519803E-2,3.890912712E-2,1.638414777E-1
9.729787509E-2,1.815753053E-1,-2.797658801E-2,4.639824092E-2,1.894863523E-1
1.072528750E-1,1.948435147E-1,-2.115405679E-2,3.970259428E-2,1.999694610E-1
1.172078750E-1,1.709908217E-1,-2.735502899E-2,2.220977157E-2,1.745835979E-1
1.271638750E-1,1.822958284E-1,-1.558107555E-2,1.635115385E-2,1.836896818E-1
1.371188750E-1,1.585938474E-1,-1.790768266E-2,2.564968854E-2,1.616496213E-1
1.470748751E-1,1.499494334E-1,-3.056047261E-2,2.984477341E-2,1.559149947E-1
1.570298751E-1,1.266571595E-1,-4.774193108E-2,3.214828402E-2,1.391216741E-1
1.669848751E-1,1.208070568E-1,-6.189687073E-2,2.511613011E-2,1.380448752E-1
1.769408750E-1,1.682638265E-1,-5.018431306E-2,2.109441519E-2,1.768506571E-1
1.868958750E-1,2.700407910E-1,-3.163109779E-2,2.249891639E-2,2.728163419E-1
1.968518751E-1,3.784347572E-1,-1.051738679E-2,2.109616935E-2,3.791682070E-1
2.068068751E-1,4.574312619E-1,-5.920890570E-3,-1.543080211E-3,4.574721821E-1
2.167618751E-1,4.564298897E-1,2.876420796E-2,6.715527177E-3,4.573846545E-1
2.267178751E-1,3.856773378E-1,3.768705904E-2,-1.679817349E-2,3.878782050E-1
2.366728750E-1,2.644794311E-1,4.108429134E-2,-3.020847023E-2,2.693507753E-1
2.466288750E-1,1.896067118E-1,5.481764674E-2,-1.987059295E-2,1.983696550E-1
2.565838750E-1,9.428258825E-2,3.429742813E-2,-1.424089372E-2,1.013327345E-1
2.665388751E-1,1.881557252E-2,3.935176134E-3,-3.250525653E-2,3.776378004E-2
2.764948751E-1,2.112620942E-2,-2.597567081E-2,-4.495514810E-2,5.605370228E-2
2.864498751E-1,4.719112337E-2,-3.325136125E-2,-8.383474678E-2,1.017886041E-1
2.964058750E-1,9.790625397E-2,-2.926882267E-2,-8.164467216E-2,1.307981309E-1
3.063608750E-1,1.425755098E-1,1.392923713E-2,-7.361059785E-2,1.610599880E-1
3.163158750E-1,1.258933670E-1,3.972539842E-2,-4.587374568E-2,1.397556713E-1
3.262718751E-1,1.155464996E-1,5.859728694E-2,-4.110358715E-2,1.359196104E-1
3.362268751E-1,8.905733362E-2,8.923435807E-3,-5.325819433E-2,1.041502359E-1
3.461828751E-1,2.085921094E-3,1.745978594E-3,-7.236923397E-2,7.242033922E-2
3.561378750E-1,-8.634440828E-2,-5.680628479E-2,-5.366574526E-2,1.164573873E-1
3.660928750E-1,-1.741044640E-1,-3.583758473E-2,-6.567300260E-2,1.894983909E-1
3.760488750E-1,-2.834871578E-1,-4.224145532E-2,-5.205951512E-2,2.913065435E-1
3.860038751E-1,-3.782971283E-1,-4.110592604E-2,-8.399642229E-2,3.896842484E-1
