Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
12.00620946,0.2621101394,-0.9446030706,2.965984645,3.12378642
12.01616333,0.03003338266,-1.690907178,2.516572327,3.032029909
12.02611733,0.1677246584,-2.161129736,2.709868121,3.470158285
12.03607033,0.2411953799,-1.596919034,2.904224891,3.323078065
12.04602433,0.1687082697,-0.835325042,2.624536779,2.759424525
12.05597833,0.1590140247,-0.9902984762,2.930806626,3.097677196
12.06593133,0.1831059236,-1.104198144,3.055575975,3.254124438
12.07588533,-0.03108063726,-0.888426531,2.900648149,3.033814001
12.08583933,0.05846380597,-0.962845214,2.81852459,2.979021616
12.09579233,0.3037330323,-1.035382263,2.620314505,2.833781623
12.10574633,0.3409067789,-0.6939808828,1.963127811,2.109904666
12.11570033,0.3762200512,-0.8394987845,2.28084329,2.459379159
12.12565433,0.334242488,-0.8133219695,2.543807781,2.691499339
12.13560733,0.3735920932,-0.4642046034,2.509515615,2.579287806
12.14556133,0.1079376458,-0.4775689995,2.157589831,2.212445833
12.15551533,0.5151202204,-1.188557094,1.812088383,2.227483135
12.16546933,0.5248936587,-1.852617774,1.551811858,2.473019614
12.17542233,0.4116036361,-1.916106257,1.711623571,2.602025363
12.18537633,0.1082255298,-1.402479233,2.149127741,2.568542546
12.19533033,-0.3987928252,-1.192157809,2.29401502,2.615870959
12.20528333,-0.8991635538,-0.9723194575,2.069954394,2.457358626
12.21523733,-1.121289629,-0.8858210117,1.994343756,2.453441728
12.22519133,-0.6516290613,-0.4280863523,1.728300707,1.896022598
12.23514533,-0.5855903519,-0.1806251693,1.697251992,1.804496006
12.24509833,-0.3582999797,-0.5431887925,1.540379966,1.672185211
12.25505233,-0.4073247168,-1.133118473,1.10435982,1.633854801
12.26500633,-0.7045903632,-1.105821916,0.7553406867,1.513218174
12.27495933,-0.4578339523,-0.7384173828,0.6660466871,1.09475584
12.28491333,-0.233053461,-0.2713441354,0.8724601239,0.9429359593
12.29486733,-0.5251080322,-0.1391935533,0.9868263996,1.126472207
12.30482133,-0.4943860303,-0.1189727122,0.5168003082,0.7250204216
12.31477433,-0.9257450692,-0.236805802,0.2689596409,0.992683338
12.32472833,-1.171693578,-0.2036807406,0.423346307,1.262368322
12.33468233,-1.065358453,-0.4397725976,0.4120243433,1.223990453
12.34463533,-0.6350440919,-0.6577287304,-0.1143379167,0.9213909272
12.35458933,-0.2372497518,0.1111596626,-0.1541963392,0.3040072801
12.36454333,0.2552082687,0.510882926,0.4783075029,0.7449232791
12.37449733,-0.05187916506,0.3211080337,0.1861396784,0.3747663231
12.38445033,-0.4316441638,-0.1044242549,-0.1189276886,0.4597443901
12.39440433,-0.4600823895,-0.3637739968,-0.3285769746,0.6722872556
12.40435833,-0.562894969,-0.1290807939,-0.3859366983,0.6945932138
12.41431133,0.1240928265,-0.0800706017,0.0928102228,0.1744249647
12.42426533,-1.046009797,-0.2991739583,-0.2625338432,1.119180759
12.43421933,-0.2691818351,0.135781703,-0.3043124914,0.4283708949
12.44417333,0.4380407985,-0.2904557598,0.160083316,0.5494278456
12.45412633,0.9397551441,0.02653232574,0.5662642443,1.097496647
12.46408033,0.370960298,-0.4407069826,0.900746322,1.069195082
12.47403433,0.46179672,-0.3679781449,0.4618791658,0.7496642512
12.48398733,-0.05897150874,-0.3166395915,0.8981217992,0.9541284169
12.49394133,0.5408916407,0.1033776033,1.1785949,1.300898395
12.50389533,1.179385078,0.2775398451,1.371478465,1.83000839
12.51384933,1.362604438,-0.0607625109,1.474618671,2.00870186
12.52380233,2.001308667,-0.290589661,1.240345006,2.372368957
12.53375633,1.893497413,-1.238475358,1.561523498,2.749092451
12.54371033,2.211815301,-1.286071109,0.8335539204,2.690895383
12.55366333,2.059334681,-1.981944736,1.420238981,3.191558088
12.56361733,0.9003078539,-1.20611102,1.233595857,1.946025889
12.57357133,1.342234054,-0.6483860493,1.91714443,2.42846443
12.58352533,1.428193679,0.3089259446,2.248167295,2.681310987
12.59347833,0.592361391,0.4854954851,2.788565796,2.891832824
12.60343233,1.008091334,-0.5078710252,2.2437927,2.511729842
12.61338633,1.040176395,-0.9024925929,1.191855508,1.821257633
12.62333933,0.8096877788,-0.8892597592,1.129818304,1.650111093
12.63329333,1.244644171,-1.24280873,2.357737684,2.941536952
12.64324733,-0.1507727945,-1.43857351,1.110211713,1.823402377
12.65320133,0.2433404309,-1.872320552,0.5236754644,1.959345505
12.66315433,-0.1882136858,-1.027546409,1.094154966,1.512762739
12.67310833,-0.4018699224,0.5594510686,2.288285041,2.389714076
12.68306233,-1.306500988,-0.00175942719,3.134375977,3.395771001
12.69301633,-1.56048094,-0.362973513,2.284200761,2.790058002
12.70296933,-2.290884714,-1.610047202,1.742363845,3.297913967
