Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.003231625,-0.6823859272,-2.867324575,-0.2117446357,2.955001956
4.013279625,-0.7368739372,-1.4198804,0.2179251426,1.61447667
4.023327958,-1.201440337,0.007217949182,-0.1112502944,1.206601678
4.033376958,-0.5211277594,-0.7938795389,-0.4683298141,1.058844502
4.043424958,0.4993131135,-0.7728191838,0.4799084705,1.037725983
4.053473958,-0.2465466055,-0.1976572314,1.407955735,1.442980582
4.063522958,-0.02297422193,-0.1652396831,1.192586995,1.204199198
4.073570958,0.4314574914,-0.5506140254,-0.2190630108,0.7330211284
4.083619958,0.5994185418,-0.02674911126,-1.287550455,1.420494378
4.093668958,-0.1522314555,-0.1086779581,-0.5501341152,0.5810618378
4.103716958,0.08585152455,-0.4819567502,0.09531838596,0.4987367923
4.113765958,0.9056701892,-0.7400003703,-0.1885136479,1.184641902
4.123814958,0.2309726197,-0.3407770438,0.4119550538,0.5823953219
4.133862958,0.2291167134,-0.7260763957,1.412342901,1.604491779
4.143911958,1.301357777,-0.4297320512,0.5300296336,1.469398895
4.153960958,1.700128383,-0.4327769887,-0.353061313,1.789520811
4.164009958,1.976632686,0.1271041426,-1.309543002,2.374475756
4.174057958,2.174356284,0.04269373745,-0.9411847883,2.36969973
4.184106958,1.957392131,-0.5724660936,-0.8204918253,2.198251173
4.194155958,2.184220975,-0.1669137409,0.2461367887,2.204374012
4.204203958,2.499900161,0.2596796711,1.444840556,2.899051324
4.214252958,2.310136817,-1.15672149,2.433556775,3.549216153
4.224301958,2.090990337,-0.5422944608,0.4335190004,2.203239115
4.234349958,1.968166357,0.4518282406,-0.1805666971,2.02742001
4.244398958,2.106729726,0.4279242383,-2.02958434,2.956457659
4.254447958,2.430089377,-0.4295898177,-1.359282342,2.81736229
4.264495958,2.904806397,-1.102680645,-1.263445893,3.354116923
4.274544958,3.181498688,-0.738298392,0.2834461176,3.278316659
4.284593958,2.591037496,0.1302074061,0.3278112817,2.614935852
4.294641958,1.886879534,-1.324986814,0.9101202857,2.478754399
4.304690958,1.887037117,-0.8027241835,0.4527423066,2.100059711
4.314739958,2.509423229,0.3025922406,0.1994514495,2.535458122
4.324788958,2.532501605,-0.233926633,-1.571180175,2.989463696
4.334836958,2.446100222,-1.443755751,-0.8523217285,2.9655167
4.344885958,2.297452745,-0.5623213206,-0.8321850872,2.507394345
4.354934958,2.694103442,-0.1391473603,-0.1315489036,2.700899935
4.364982958,2.623822834,-1.434999546,0.3574619275,3.011884624
4.375031958,1.600848947,-1.342926511,0.3694580752,2.121949159
4.385080958,1.546665577,0.1177800263,0.6700493985,1.689678294
4.395128958,1.450925461,-0.1972182517,0.5003403962,1.547391432
4.405177958,2.210567067,-0.6367458509,-0.5994875389,2.377275193
4.415226958,2.77936988,-0.7312470885,-0.5560637766,2.927255738
4.425274958,3.001450346,-0.4169009212,-0.1393397337,3.033467673
4.435323958,2.135486041,-1.093575361,0.0650303936,2.400090967
4.445372958,1.795778745,-1.031545613,-0.06599693835,2.072019123
4.455420958,2.062210342,0.000178924799,-0.3816980517,2.097237452
4.465469958,2.205876723,0.3822877434,-0.2388915038,2.251467341
4.475518958,1.465331831,-1.211490751,1.075488315,2.184395186
4.485566958,0.7432878942,-0.3343472993,-1.125579658,1.38967427
4.495615958,1.291907507,0.5688482751,0.1402279258,1.418547581
4.505664958,1.77962742,0.4490660159,-0.2352387482,1.850424629
4.515713958,1.758046955,-0.6052566943,0.1666971016,1.866776013
4.525761958,1.184257782,-0.2758052686,-0.2891810668,1.249864285
4.535810958,0.1814677165,1.719260911,-0.3003375542,1.754705462
4.545859958,0.1322504964,1.219114789,0.03626735508,1.226803319
4.555907958,0.3062662654,-0.3852714314,-0.0976350528,0.5017625979
4.565956958,0.2831840893,0.6350324705,-0.2377577287,0.734838897
4.576005958,-0.2776382611,1.541549556,-0.434107815,1.625394608
4.586053958,-1.454141576,0.5786810991,0.1613849062,1.573354577
4.596102958,-1.225361954,-0.05694457144,-0.05200279713,1.227786176
4.606151958,-1.435576666,0.6980566844,-0.007058174014,1.596312412
4.616199958,-1.840922466,1.719994737,0.165177995,2.524809139
4.626248958,-3.016324494,0.3012896271,0.9998101419,3.191960089
4.636297958,-2.864964054,-0.1140815163,-0.3745644486,2.891596816
4.646345958,-3.201806653,0.278132899,-0.2168369758,3.221170909
4.656394958,-3.489157541,0.2845278525,-0.411981951,3.524897952
4.666443958,-2.575059979,-0.04068390325,-0.2539200175,2.587868708
4.676491958,-3.331355224,0.01943731427,-0.1958811396,3.337165692
4.686540958,-3.817985653,0.701666463,-1.131793494,4.043551259
4.696589958,-3.612256341,0.8448925486,-0.5070722955,3.744243796
4.706638958,-3.254277227,-0.023219001,-0.6086548036,3.310788435
4.716686958,-3.666831913,-0.06895504475,-0.1028683108,3.668922589
4.726735958,-3.826976917,0.5587043792,-0.152447437,3.870548169
4.736784958,-2.758512569,-0.07569878474,0.9395025444,2.915096385
4.746832958,-2.445072867,0.3512831748,0.7648140532,2.585869627
4.756881958,-2.66430837,1.340737313,-0.9717119318,3.136931576
4.766930958,-2.221106088,1.371388564,-0.7206968111,2.70802931
4.776978958,-2.038081807,0.5618332243,-1.462220235,2.570510073
4.787027958,-1.678495147,0.4441572784,-0.4474102306,1.792985656
4.797076958,-1.884316846,1.281069986,-1.456502243,2.704290862
4.807124958,-0.5212614414,0.4598212382,0.05883117557,0.6975744897
4.817173958,-0.6224369833,0.3832259291,1.271456578,1.46659188
4.827222958,-1.152055777,0.6008220197,1.090501626,1.696294022
4.837270958,-0.8999725892,-0.1382294936,0.2307586116,0.9393122968
4.847319958,-0.2912676639,0.3324611337,-0.1130155689,0.4562233842
