Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
7.000024667,-1.06063054,-0.947424206,-0.8253339046,1.644301014
7.010073667,-1.442674747,-0.6944205934,0.3176113987,1.632301255
7.020123667,-0.4748398482,-0.3030288814,0.3293151855,0.652493583
7.030172667,-0.4121593774,-0.9509527083,0.3744030654,1.101981879
7.040221667,-0.8626291271,-0.4223645595,0.4546935225,1.062669766
7.050270667,-0.4991062317,-0.8399082358,1.75870272,2.011861857
7.060319667,-1.20933956,-0.4814709927,0.6564698249,1.457830278
7.070369667,-1.371842454,-0.8542182729,0.7061255497,1.763591185
7.080418667,-1.31900789,-0.3657008006,0.09015295565,1.371731186
7.090467667,-1.112702481,-0.02966380209,-0.4654079604,1.206478894
7.100516667,-1.145249691,-0.2078113599,-2.828266636,3.058410466
7.110565667,-1.03255338,0.05893423274,-1.597036563,1.902673253
7.120615667,-1.936164984,0.2067926288,0.1721817899,1.954774822
7.130664667,-1.255682837,-0.8511343051,0.3154461747,1.549411269
7.140713667,-0.908276951,-0.551406177,-0.6554793066,1.248466625
7.150762667,-0.8102549587,-0.04071840182,0.2190448844,0.8403283571
7.160811667,-1.73362562,1.184899807,-0.3974217993,2.137145158
7.170861667,-1.608177116,0.689592986,1.377433854,2.226902815
7.180910667,-1.076716523,-0.7660770518,1.287239383,1.844770378
7.190959667,-0.7823461984,-0.4632421517,0.1526292855,0.9219298043
7.201008667,-1.219628832,1.379801684,-0.397489627,1.883970589
7.211057667,-1.483498106,2.265961249,0.04036274493,2.708685321
7.221106667,-1.145585467,-0.1604367802,0.7340986294,1.370038985
7.231156667,-0.7843023844,-0.01933221057,-0.4972945815,0.9288734388
7.241205667,-0.1044723482,2.020940548,-0.8785055602,2.206102262
7.251254667,-0.07739798561,1.952775023,-0.1894679135,1.963471118
7.261303667,-0.03488945872,-1.548473244,0.6516733539,1.680376393
7.271352667,-0.1828061807,-1.041170276,-1.231957467,1.623321547
7.281402667,0.542224075,1.19440621,0.07836146057,1.314059991
7.291451667,0.8284139255,0.4855945954,0.6932897419,1.184365826
7.301500667,0.8241386607,-1.846642212,1.101064621,2.302528022
7.311549667,0.3406307904,-0.7388420369,0.3135440755,0.8719098452
7.321598667,0.6260029808,0.7812723573,0.4940797824,1.116414376
7.331648667,0.8158870699,0.3219398001,0.4750412482,0.9974874101
7.341697667,1.357356562,-0.7980328162,1.123733107,1.934437724
7.351746667,1.293836796,-1.638525627,0.1266068369,2.091604451
7.361795667,0.9453079525,-0.3319588579,-0.560630452,1.148089854
7.371844667,0.9602262461,1.633009949,-0.9939857304,2.13933718
7.381893667,1.52943471,-0.4743732038,-0.616909318,1.716035423
7.391943667,1.575173969,-2.467316844,-0.2598818386,2.938769133
