Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
11.00960558,0.2526179887,0.1170402074,-2.030523988,2.049522365
11.01965358,1.156260583,0.9030922249,-2.294084895,2.723112118
11.02970158,0.8857212435,0.4682010292,-2.206836251,2.423600743
11.03974958,0.1575873589,-0.693060531,-2.688463218,2.780827422
11.04979758,-0.1480960214,-0.3487237023,-0.9888080209,1.058906018
11.05984658,-0.1558525083,0.0914848052,0.5492593718,0.578226021
11.06989458,-0.2236660121,-1.422560033,0.3507224268,1.48213014
11.07994258,-0.224959471,-0.9002194878,-1.925537231,2.137450705
11.08999058,-0.08635387346,1.485484113,-2.063213432,2.543810077
11.10003858,0.1563041326,1.115310412,-0.8712012184,1.423846853
11.11008658,-0.2924072314,-1.27596829,1.54401518,2.024247995
11.12013458,-0.2397322238,-1.717136618,3.158726122,3.603273569
11.13018258,0.1164150944,0.1533319015,3.549210784,3.554428272
11.14023058,-0.03705387868,0.4290758474,1.617059183,1.673427463
11.15027858,-0.100632637,-0.1817528048,-1.368717994,1.384395159
11.16032658,0.4138258705,1.268130244,-1.8453491,2.276997907
11.17037458,0.6744348103,0.2030166431,-0.2076165015,0.734290598
11.18042258,0.5644122849,-0.9531462912,-0.4439445859,1.193371642
11.19047058,0.9736262371,-0.01370199971,-0.003915880322,0.9737305215
11.20051858,1.129494442,0.972408189,0.905678156,1.744014995
11.21056658,0.4806906087,-0.286179691,1.334809406,1.447300393
11.22061458,0.3111241322,-0.6255827853,1.042953238,1.255349953
11.23066258,0.7874807116,0.5966057387,-0.8594980162,1.30950415
11.24071058,1.180591213,1.692208183,-0.5770541114,2.142511516
11.25075858,0.6001397958,0.4272352901,-1.14601743,1.362370625
11.26080758,0.2784567799,-0.7784580924,-0.8799147391,1.207387729
11.27085558,0.3661954385,-0.4161207564,0.7409270078,0.9253261122
11.28090358,0.2259610442,0.03546964869,1.003451788,1.029189963
11.29095158,-0.01888035784,0.0938255918,-0.1251520497,0.1575523568
11.30099958,-0.223968642,-0.3559735188,-0.6027239728,0.734952574
11.31104758,-0.07885339413,0.1033223471,0.2914532948,0.3191212751
11.32109558,0.5274414367,-0.309102969,-0.07385676563,0.6157872493
11.33114358,0.5444381963,0.03129137456,-0.8683735049,1.0254095
11.34119158,0.3459616603,0.4500141419,-1.225534301,1.350605983
11.35123958,0.3966989373,0.0130251845,-0.2862843561,0.489385773
11.36128758,0.2986197519,-0.300660686,0.5430373496,0.6888106905
11.37133558,0.5719298308,-0.6043340036,1.271958854,1.51993508
11.38138358,0.5014753407,0.06712625496,-0.8575795448,0.995703835
11.39143158,0.8813131738,1.642538133,-1.354129776,2.303977404
11.40147958,0.8280443814,0.8228325389,1.11479096,1.614146762
11.41152758,0.5118175303,-1.712120292,2.206415836,2.839292856
11.42157558,0.579909526,-0.2774516252,0.5338367558,0.8356172237
11.43162358,0.6010233832,1.723266693,-0.1219805199,1.829140904
11.44167158,0.8877663803,0.6856018227,-0.007396143079,1.121710171
11.45171958,0.9146627683,-0.5421296424,-0.6928833604,1.269094118
11.46176858,0.7736247839,-0.5996973809,-0.5391284859,1.117493525
11.47181658,0.4522098445,1.080960359,-1.643282776,2.018253533
11.48186458,0.1939960521,0.308115959,-0.8379644752,0.9136489337
11.49191258,0.09911887513,-0.7512930248,-0.60863083,0.9719553734
11.50196058,0.06059378218,-1.230400646,1.369842414,1.842288141
11.51200858,-0.3528962754,0.1730077091,-0.3504850298,0.5265996626
11.52205658,-0.05630914355,0.912099349,-0.2129988635,0.9383306762
11.53210458,0.06355325902,0.4005148302,0.5553194261,0.6876269417
11.54215258,0.6219164349,-0.8077038185,1.546817751,1.852514687
11.55220058,0.331048081,-0.8656173467,1.27068767,1.57274708
11.56224858,-0.3385293742,0.5812826715,0.3944344568,0.7797885753
11.57229658,-0.8039297332,0.6915634245,-0.2715096116,1.094659972
11.58234458,-0.4943933759,-0.02395078003,-0.000138579011,0.4949732004
11.59239258,-0.287055476,0.3581761649,-1.072337835,1.16644736
11.60244058,0.2607703595,0.1510207164,-0.8235516733,0.8769525619
11.61248858,-0.0829297257,0.6556721185,-0.8898076433,1.108395646
11.62253658,-0.1482580898,0.08523281604,-0.03893427014,0.1753880597
11.63258458,-0.5692271016,-0.6029867321,-0.6069415694,1.027614014
11.64263258,0.01091066686,-0.01520056799,-0.2887729311,0.2893784817
11.65268058,0.3564014619,0.4504837465,-0.6788553053,0.8892705625
11.66272958,0.03386464281,0.5978736343,-1.384475071,1.508433266
11.67277758,-0.4257676024,-0.2120342191,-1.723941023,1.788353771
11.68282558,-0.2359613544,-1.378131719,0.1754205626,1.409147675
11.69287358,0.3492531311,-1.235208519,2.2444701,2.58560706
11.70292158,0.6941419005,-1.044327699,1.555213183,1.997784114
11.71296958,0.8071690176,-0.8659980735,-0.1895497745,1.19891768
11.72301758,0.8575753786,0.1187099529,-0.3700235009,0.941512068
11.73306558,1.430828288,-0.03257498458,1.163461429,1.844443877
11.74311358,2.021554067,-1.361691395,0.2032036078,2.445848729
11.75316158,2.235763158,-0.1623545938,-0.7876304734,2.375996144
11.76320958,2.106528436,1.553418673,-0.2764540172,2.631919157
11.77325758,1.477144814,0.5699747412,-0.6267659694,1.70283986
11.78330558,1.461187324,-1.612326593,0.6110574245,2.260101019
11.79335358,1.728981907,-1.449841533,0.886215114,2.424210415
11.80340158,2.182659768,0.7066355,-0.172740199,2.300690455
11.81344958,2.374244959,-0.052537525,0.5525004834,2.438248572
11.82349758,1.806178456,-1.782596197,1.387941885,2.892457864
11.83354558,2.002664929,-1.32895912,1.701304697,2.944696391
11.84359358,1.648327169,-0.7417668872,-0.5839070481,1.899512572
11.85364158,2.433220414,0.9321055973,-1.634835303,3.07604761
11.86369058,2.20012394,0.3571982912,-1.574065191,2.728702475
11.87373858,2.052532908,-1.729722603,-0.2539919382,2.696172014
11.88378658,1.341669505,-1.810486977,0.2102185124,2.263212756
11.89383458,0.8895835488,0.1466386668,0.2393563575,0.9328200548
11.90388258,0.7080299878,0.6517602582,1.138155849,1.490468596
11.91393058,0.735760408,-1.091857084,0.940122934,1.617815317
11.92397858,0.5463220961,-2.3406663,2.120699748,3.205394512
11.93402658,0.9793907147,1.241869667,-1.163870734,1.963680607
11.94407458,0.6136193821,2.203514594,-0.849252525,2.439925237
11.95412258,0.396680482,-0.9272355976,-0.9274830079,1.37016276
11.96417058,0.9018767349,-1.892793847,1.11420273,2.374341575
11.97421858,0.05085166309,-0.4120562837,1.289758363,1.354936496
11.98426658,-1.006777319,-0.8347822011,1.720902225,2.161473192
11.99431458,-1.920311574,-1.592823059,1.897355406,3.134428078
