Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
9.001981,-1.450385324,-0.3354107617,-1.012522573,1.80036661
9.012029,-1.085854844,1.546540301,-1.49826715,2.411570463
9.022077,-0.860060226,0.6102610338,-0.5316399568,1.181000917
9.032124,-1.751448372,-0.8748438875,-0.3390531385,1.986927341
9.042172,-1.858250104,0.4813933709,0.4787033594,1.978380634
9.05222,-1.51710454,1.002636394,0.5775926399,1.908009219
9.062268,-1.272825996,-0.4708894327,1.013493796,1.693810069
9.072316,-1.389851001,-0.5276052319,-0.429059329,1.547302489
9.082364,-1.502649053,0.6239667611,0.04894938111,1.627785225
9.092411,-1.594017499,-0.9645735048,2.017588193,2.746262178
9.102459,-1.390876895,-1.047719303,0.2095513451,1.753900237
9.112507,-0.6873031432,-0.3281926663,-0.8161882746,1.11635986
9.122555,-0.6381572226,1.23681241,-1.9901361,2.428495682
9.132603,-0.5303211904,0.08958139032,-1.914298882,1.988417864
9.142651,-1.07303285,-0.7708564197,-0.6567352885,1.475439038
9.152699,-1.024434375,0.02628703505,0.5814740217,1.178248206
9.162746,-0.1069425776,-0.2872308742,0.2223643488,0.3786610537
9.172794,0.1446849842,0.01147720724,0.1707854748,0.2241275292
9.182842,-0.1756622719,0.9216324301,-0.2549403566,0.9722438765
9.19289,-0.1926274565,-0.2871253319,-0.1261308736,0.3680425118
9.202938,-1.092069338,0.7917448667,-1.401337856,1.94505094
9.212985,-0.5578529515,1.056069858,-0.9509426218,1.526687699
9.223033,-0.05400724092,0.1293452342,-1.412745189,1.419681634
9.233081,0.1969893149,0.7758231908,-0.4203826457,0.9041172393
9.243129,-1.228585963,0.4309443252,2.022071253,2.404975807
9.253177,-1.429904428,-1.90649665,3.830936651,4.511699433
9.263225,-0.9511423042,-1.204805921,1.618518648,2.230657214
9.273273,-0.04833641019,1.285671744,0.06180565417,1.288063734
9.28332,-0.2636269802,1.120800728,-1.33013748,1.759249605
9.293368,-0.8884890962,-0.285872566,-1.690475069,1.931020962
9.303416,-1.20620516,-1.437244438,-0.3245076048,1.904181622
9.313464,-0.7175320056,-0.3555646522,-1.869736667,2.034009244
9.323512,0.8138218334,1.70185989,-1.403819414,2.351455296
9.33356,0.4437337573,1.018404434,-0.02129672885,1.11108091
9.343607,-0.5258300537,-2.317131257,3.23266124,4.011943818
9.353655,-1.392786888,-1.563426621,1.922144676,2.842322689
9.363703,0.4690451844,0.6997164166,1.21754642,1.480549132
9.373751,1.525066986,1.980137946,-0.3638652134,2.525702574
9.383799,1.759567523,1.078373039,-1.95577903,2.843244255
9.393847,1.156151678,-1.231864643,-0.02205686688,1.689575008
9.403894,0.6395351189,0.352404086,-0.8206537932,1.098483708
9.413942,1.843510005,1.307563135,-0.07416608334,2.261360453
9.42399,2.739624601,0.6555927426,0.06316980958,2.817682598
9.434038,2.940122702,-0.6936587012,0.7871457392,3.12171144
9.444086,2.007483912,0.6961284189,-0.08519159317,2.1264628
9.454134,1.664816902,1.134314959,0.03279644787,2.014785683
9.464181,1.956275605,-0.3888842797,-1.061786535,2.259565417
9.474229,2.154800856,1.161137014,-2.338850008,3.385502216
9.484277,2.403462472,0.7448632072,-1.003678075,2.709026159
9.494325,1.503750669,-0.2985007976,-0.03559141695,1.533504336
9.504373,1.657544281,0.00395242542,0.2793618375,1.680925847
9.514421,1.570422814,0.6549751304,0.2568377781,1.720809659
9.524469,2.247956795,0.7114858384,1.114422001,2.607960553
9.534516,1.822072504,0.05808857918,1.339912856,2.262451978
9.544564,2.243034463,-0.6102480237,0.9674229991,2.517839056
9.554612,1.125404899,0.3081814478,0.8487350464,1.442866304
9.56466,0.4613190756,0.1939916119,0.04289926708,0.5022831693
9.574708,1.224220431,0.1501424646,-1.349188879,1.827995912
9.584756,0.9362652335,0.4072983313,-1.892144367,2.150045307
9.594803,1.383732328,0.4458006383,-0.2812364548,1.480725265
9.604851,0.9139983784,-0.4201813553,-0.5477595609,1.145419549
9.614899,0.5478363056,-0.5918716867,-0.07184239984,0.8096900899
9.624947,0.1557419593,0.7425481483,-0.3398828584,0.8313565228
9.634995,1.400562808,-0.5094706772,0.319784224,1.524269825
9.645043,1.187909149,-0.06240148544,-0.5115945321,1.294894226
9.65509,1.236733765,-0.6060329121,0.8259607261,1.60592572
9.665138,1.288323749,1.177108538,-1.769151694,2.485007104
9.675186,0.8445755564,0.5452285936,-0.5913300884,1.166299003
9.685234,2.002304156,-0.1780768065,-0.07352698267,2.011551515
9.695282,2.00365881,-1.822162113,2.44688141,3.649952332
9.70533,0.3777343704,-0.8760150848,0.9835414338,1.37019686
9.715377,-0.4161712617,-0.08988632262,0.03808057666,0.4274671922
9.725425,-0.2345820876,-0.5968777804,-0.07769604743,0.6460096875
9.735473958,0.2319081193,0.0292648758,-0.7771505088,0.8115421875
9.745521958,0.5665708577,-0.5250090681,-0.5038118881,0.9222057671
9.755569958,-0.374684682,-0.005810232013,-1.554702137,1.599225157
9.765617958,-1.479760712,-0.3629759981,-0.1602464533,1.532032071
9.775664958,-1.883258353,-0.1633495706,-0.1302549148,1.894811719
9.785712958,-0.6000278582,-1.134814165,1.789284242,2.202129588
9.795760958,-0.172974855,-0.1207968973,0.2208218533,0.3054087126
9.805808958,-1.236836384,0.08410225689,-0.4258842909,1.31080695
9.815856958,-2.50321524,0.511796992,-1.145888792,2.800193533
9.825904958,-2.384169584,-0.225670803,-0.7700823945,2.515595121
9.835952958,-1.350637088,-1.107681477,-0.04641753674,1.747379004
9.845999958,-1.275591583,-0.2562774687,0.5435431337,1.410053604
9.856047958,-1.407213577,-0.7483409849,0.7294699734,1.752823643
9.866095958,-1.767543564,-0.5362060475,0.1393005574,1.852331455
9.876143958,-2.114762777,-0.7193731476,0.3897607774,2.267516878
9.886191958,-1.02648916,-0.1646992542,-0.237839005,1.066477019
9.896239958,0.1119215731,-0.3093757416,-0.1892866498,0.3795645187
9.906286958,-0.5477689896,0.260397563,-0.1087523639,0.6161857134
9.916334958,-1.259112814,-0.06612528473,-0.1226570427,1.266800056
