Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.007030792,-5.851423309,0.5171556728,-0.005867680907,5.874235198
3.017079792,-5.281709792,0.6181303628,-0.7062658828,5.364452905
3.027128792,-5.467536644,0.5727138694,-0.9812732989,5.584340196
3.037177792,-5.576329354,0.2555566531,-0.8220407528,5.642385069
3.047226792,-5.812038803,0.2288638213,-0.4948030829,5.837551181
3.057275792,-6.25307323,-0.2039445962,0.5327409875,6.279039033
3.067324792,-6.505578221,-0.4206457704,1.402903156,6.668405216
3.077373792,-6.009954774,-0.2941761969,1.926767485,6.318111186
3.087422792,-4.598155664,-0.8643497434,2.257165575,5.194702342
3.097471792,-3.980095029,-1.574410323,1.373351912,4.495110653
3.107520792,-3.702348778,-1.554024152,0.03417872965,4.015413518
3.117569792,-3.781099663,-2.159499824,-2.11639035,4.841411185
3.127618792,-4.005601754,-2.131980635,-2.877151113,5.372912186
3.137667792,-3.747972263,-1.034497287,-3.690522784,5.360731213
3.147716792,-2.777031578,-1.883291829,-2.002194813,3.907361843
3.157765792,-0.9104139622,-3.68164788,-1.033359126,3.930803452
3.167814792,2.534859787,-4.460354041,0.4770848501,5.152463708
3.177863792,3.081240282,-3.013955202,1.403718842,4.533033666
3.187913292,0.1477290264,-1.484299906,1.371474372,2.026305018
3.197962292,0.1763536321,-1.745022428,0.4467489105,1.809913939
3.208011292,0.4706245539,-1.734224082,0.5918218392,1.89189686
3.218060292,1.43906263,-1.372487402,-0.03624279678,1.988953609
3.228109292,2.278894705,-1.530381959,-0.2334027225,2.754978557
3.238158292,2.061784372,-0.8010537802,-0.8499530214,2.369612225
3.248207292,2.313088492,0.2032304319,-0.5531600493,2.386978638
3.258256292,2.060485413,-0.2960649937,-0.188127147,2.090130724
3.268305292,2.173205259,-0.2401618845,0.2904931819,2.205648458
3.278354292,2.319909707,0.0836384996,0.7004052186,2.424777086
3.288404292,2.513497569,-0.4726683019,1.664034544,3.051245044
3.298453292,2.512265853,-0.5356235187,1.436336365,2.943031502
3.308502292,2.537314448,0.1935653499,0.1347350514,2.548251496
3.318551292,2.904184545,0.5230639918,-1.004533523,3.117205706
3.328600292,3.973770681,-0.1340986551,-0.9312135315,4.083625168
3.338649292,3.380672979,-0.71438328,-0.3745644486,3.475570714
3.348698292,3.422697211,-0.4083009095,0.4188278711,3.472316606
3.358747292,3.700634374,0.03610670283,0.7503486264,3.776111959
3.368796292,3.746889066,0.08090010233,1.063006264,3.8956007
3.378845292,3.367954701,0.3282371783,1.262910873,3.611897338
3.388894292,2.672655855,0.7688403728,0.8532993829,2.909007507
3.398943292,2.164704723,0.699680237,0.2055155969,2.284236335
3.408992292,2.483138825,0.4707458836,-0.6004587615,2.597716466
3.419041292,2.653837761,0.7569167306,-1.034002905,2.947022193
3.429090292,2.748987747,1.061080264,-1.071971215,3.135593604
3.439139292,2.426984505,0.7566424231,-0.9232712585,2.704661044
3.449188292,1.511071237,0.8224864568,-0.6172081107,1.827776273
3.459237292,1.565037236,1.211141233,-0.4609699237,2.031919759
3.469286292,2.016160303,1.484621503,-0.4748681706,2.548431508
3.479335292,2.594644935,1.224291037,-0.4308555937,2.901156222
3.489384292,2.986606312,1.224930649,-1.171027141,3.433886563
3.499433292,2.828909245,1.498237329,-1.468595454,3.521961842
3.509482292,2.246371615,1.69022013,-1.253095737,3.07786914
3.519531292,1.942584203,1.387911041,-0.6736711639,2.480677988
3.529580292,1.722571897,0.7880035988,-0.1889007336,1.903650992
3.539629292,1.332380472,0.6276209054,0.03798175871,1.473291668
3.549678292,1.525238017,0.4320916951,0.03906641722,1.585742862
3.559727292,1.892604251,0.2403586433,0.04567727923,1.908352572
3.569776292,2.001885788,0.1139112161,0.2690099269,2.023088928
3.579825292,1.943599719,-0.2160698211,0.8776536208,2.143488258
3.589875292,2.185517157,0.08223692201,2.159572037,3.073597166
3.599924292,2.022001671,0.0229662551,2.356374114,3.105079253
3.609973292,1.30900462,-0.04514562115,0.7929473466,1.531109636
3.620022292,1.187414255,0.5887151404,-0.9482721984,1.629649745
3.630071292,1.608610249,0.2113474636,-1.567737919,2.256124302
3.640120292,2.409234405,-0.9441515925,-1.417557448,2.950474837
3.650169292,2.767718718,-0.8978595516,-0.7954458618,3.0164802
3.660218292,2.151917447,-0.7652577838,0.3047785145,2.304182744
3.670267292,0.767642059,-1.148522231,1.457174088,2.007917819
3.680316292,0.1093622285,-1.544430771,2.112748704,2.619338388
3.690365292,1.081811933,-1.310156083,1.942892352,2.581018541
3.700414292,1.873122936,-1.135410874,0.5409370297,2.256182673
3.710463292,1.363534437,-1.067451171,-1.138283318,2.072285472
3.720512292,0.7272702509,-0.002238606513,-2.232792626,2.348252529
3.730561292,1.279130464,-0.2523767911,-2.422891454,2.751412689
3.740610292,1.465974147,-1.048844015,-2.028761637,2.713858462
3.750659292,1.124167263,-1.110360963,-0.8195855069,1.77999267
3.760708292,0.4876311806,-0.7073435247,0.1003621942,0.8649806936
3.770757292,-0.1061257216,-0.5153265175,0.21333157,0.5677450548
3.780806292,-0.2208384448,-0.2657027417,0.08987872124,0.3569954484
3.790855292,0.3473481448,0.2115192255,0.0633329469,0.4115849592
3.800904292,0.651230135,0.2684162883,-0.2300873512,0.7410048459
3.810953292,0.01235333942,0.04784776568,-1.304385758,1.3053215
3.821002292,-0.6155186308,0.286888812,-1.758335515,1.884917016
3.831051292,-0.343885643,0.9367584461,-2.423101369,2.620533146
3.841100292,-0.0805313623,0.8949081695,-2.043458614,2.232278889
3.851149292,-0.3609699646,0.6195160067,-1.35246098,1.530767814
3.861198292,-0.339592471,0.1218292232,-0.1016462427,0.3748297809
3.871247292,-0.9009104826,-0.7377671725,0.9147226292,1.480762502
3.881296292,-1.279024045,-0.4111289884,1.958658784,2.375136582
3.891345292,-1.427888601,-0.1103550857,1.74634346,2.258486126
3.901394292,-1.198763409,-0.4687427737,0.7707290965,1.500258924
3.911443292,-0.4704093032,-0.286829609,0.3771611971,0.6676875809
3.921493292,-0.5364598167,-0.2016725144,0.2239121068,0.6153028275
3.931542292,-0.6460837812,-1.179829832,-0.2509046084,1.368347839
3.941591292,-0.8301782497,-1.344688423,-0.9696174592,1.854060651
3.951640292,-0.9014867257,-0.5779952207,-0.9653390515,1.441747646
3.961689292,-0.3941765946,-0.2814184494,0.4129724693,0.6364886424
3.971738292,0.1898527334,-1.638699144,2.175918514,2.730567765
3.981787292,0.2727360651,-2.634763559,2.914535871,3.938385877
3.991836292,0.1946585599,-2.027700806,2.992619004,3.62011478
