Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.008421458,0.0151990331,-0.01141091444,-0.02567863226,0.03194701442
1.018470458,0.02574419416,-0.02320028991,0.002080439329,0.03471808193
1.028518458,0.01402717799,-0.04756366409,-0.02658495069,0.05626565087
1.038567458,0.005693653151,-0.06350997135,-0.03637026608,0.07340797233
1.048615458,0.01212697908,-0.04529699095,-0.02564764202,0.05344794244
1.058663458,0.01691862613,-0.02755960844,-0.03379398286,0.04677398
1.068712458,0.02743403949,-0.04136495769,-0.02651829243,0.0562752706
1.078760458,0.009206660315,-0.03865089945,0.01008995533,0.04099343632
1.088809458,-0.007700929195,-0.03715145409,0.01540682852,0.04095003317
1.098857458,0.006790006086,-0.03739689097,0.01847486258,0.04226052749
1.108906458,-0.02604861483,-0.04029791392,0.04382605076,0.06498595945
1.118954458,-0.04589698836,-0.05098940156,0.01753813863,0.07080987868
1.129002458,-0.07003736436,-0.06269333459,-0.01845732093,0.09579331556
1.139051458,-0.066432629,-0.05245712578,-0.03828932226,0.09290380208
1.149099458,-0.04654741801,-0.00359749943,-0.06023275316,0.07620753689
1.159148458,-0.001497545019,-0.01251808472,-0.05210044563,0.05360411851
1.169196458,0.02025007725,-0.043112325,-0.01015719831,0.04870222657
1.179245458,0.02499501966,-0.03819459736,0.03869278014,0.05983902999
1.189293458,0.01499014132,-0.06684017994,0.08633296967,0.1102075117
1.199341458,0.01651721478,-0.0938159439,0.09836244643,0.1369285236
1.209390458,-0.002017581761,-0.1328064935,0.099039554,0.1656818294
1.219438458,-0.0399626492,-0.1548381443,0.07815213025,0.1779876954
1.229487458,-0.09344186828,-0.1314262582,0.004891195893,0.1613324763
1.239536208,-0.1223364691,-0.1205072408,-0.05295296967,0.1797003722
1.249585208,-0.1285418268,-0.1146308622,-0.08553014696,0.1922983147
1.259633208,-0.09528907679,-0.1499424168,-0.07619799078,0.1933102954
1.269682208,-0.06771390013,-0.1607123302,-0.05429198205,0.1826506082
1.279730208,-0.08204527952,-0.1794949756,0.001117402911,0.197360388
1.289778208,-0.0913364321,-0.1910618645,0.05650866151,0.2191807672
1.299827208,-0.1343005302,-0.1746730692,0.02406070769,0.2216443799
1.309875208,-0.1501880729,-0.1456297298,-0.06717456758,0.2197200445
1.319924208,-0.09346803457,-0.0414841678,-0.1941872013,0.2194672613
1.329972208,0.00756081529,0.09985005118,-0.2496977431,0.2690281798
1.340021208,0.1442230359,0.09838495821,-0.1931405497,0.2603519848
1.350069208,0.2442151013,0.01386579484,0.02462320983,0.2458446225
1.360117208,0.2460271534,-0.1206795144,0.1386497623,0.3071101789
1.370166208,0.2125354716,-0.1324174344,0.2717025697,0.3694969418
1.380214208,0.1841106945,-0.08978158437,0.2815943044,0.3482137749
1.390263208,0.2083734235,-0.06577635214,0.3716034186,0.4310859692
1.400311208,0.1940332002,-0.1214354863,0.3326556998,0.4038010336
1.410360208,0.147500985,-0.1881536056,0.2628826296,0.3553387072
1.420408208,0.06797402814,-0.1867914236,0.1704796654,0.2618679453
1.430456208,0.01985042006,-0.1436625803,0.04466746509,0.1517503166
1.440505208,-0.05899117,-0.2228125378,-0.1121168518,0.2563114777
1.450553208,-0.1330971001,-0.3840381805,-0.2269912505,0.465537528
1.460602208,-0.1866349375,-0.398277247,-0.2864971948,0.5249171439
1.470650208,-0.2185205354,-0.3223982949,-0.2506964475,0.4631852693
1.480699208,-0.186935923,-0.3210200331,-0.05369790494,0.3753429977
1.490747208,-0.1407562948,-0.3363822766,0.0451258868,0.3674257968
1.500796208,-0.09070193611,-0.3983002704,0.08677677333,0.4176124459
1.510844208,-0.063573706,-0.3713622209,0.07075774133,0.38335124
1.520892208,-0.007298421487,-0.2077759112,0.1080395883,0.234300339
1.530941208,0.01608342446,-0.2349056031,-0.04240751624,0.2392440518
1.540989208,0.1384367774,-0.2755572736,-0.1394081461,0.3384245611
1.551038208,0.3091645841,-0.09654410854,-0.06126478672,0.3296314291
1.561086208,0.3799780201,0.03747560911,-0.04641753674,0.3846326881
1.571135208,0.3978513504,-0.08453597412,-0.256165933,0.4806797407
1.581183208,0.5464128741,0.09850146398,-0.008231125474,0.555281297
1.591231208,0.5937927894,0.2798253024,-0.01144124687,0.6565234031
1.601280208,0.5651160704,0.2960186546,-0.1740599155,0.6612715563
1.611328208,0.5892623667,0.4384270801,-0.1362816399,0.747008117
1.621377208,0.5498063057,0.6651856846,-0.1445034099,0.8750086881
1.631425208,0.5088329653,0.8149866718,-0.2631901932,0.9961843903
1.641474208,0.5559443472,0.9399840626,-0.1848234701,1.107611787
1.651522208,0.5788420437,1.112217235,-0.1991070485,1.269538856
1.661571208,0.6067759471,1.220318877,-0.3851069784,1.416214177
1.671619208,0.6590689854,1.174506527,-0.3016555166,1.380157078
1.681667208,0.7553265072,1.161643895,-0.05119178832,1.386562393
1.691716208,0.8022086783,1.201803961,-0.1579104906,1.453549878
1.701764208,0.8639130295,1.049904189,0.06143201709,1.36103579
1.711813208,0.8481351952,1.126959016,-0.03529028535,1.410891681
1.721861208,0.7739251846,1.341236519,-0.1189715427,1.553071093
1.731910208,0.5859146165,1.35461451,-0.1850550199,1.487454796
1.741958208,0.4438712034,1.308244336,-0.3258419394,1.419400527
1.752006208,0.4714992242,1.498549863,-0.5368819857,1.660182362
1.762055208,0.4998811705,1.693206595,-0.5693849033,1.855001059
1.772103208,0.3091487966,1.452107183,-0.5393196899,1.579573986
1.782152208,0.05119770862,1.265065279,-0.472901752,1.351535213
1.792200208,-0.1433476346,1.320679024,-0.1850842559,1.341267241
1.802249208,-0.2962717659,1.308916473,0.05217587471,1.343041926
1.812297208,-0.4030900902,1.071119568,0.1801053518,1.158540758
