cut_file,road_types,backpack_weight(kg),weather (degrees)
Asfalt_0_second_0.csv,Asphalts,0.0,11
Asfalt_0_second_1.csv,Asphalts,0.0,11
Asfalt_0_second_2.csv,Asphalts,0.0,11
Asfalt_0_second_3.csv,Asphalts,0.0,11
Asfalt_0_second_4.csv,Asphalts,0.0,11
Asfalt_0_second_5.csv,Asphalts,0.0,11
Asfalt_0_second_6.csv,Asphalts,0.0,11
Asfalt_0_second_7.csv,Asphalts,0.0,11
Asfalt_0_second_8.csv,Asphalts,0.0,11
Asfalt_0_second_9.csv,Asphalts,0.0,11
Asfalt_0_second_10.csv,Asphalts,0.0,11
Asfalt_0_second_11.csv,Asphalts,0.0,11
Asfalt_0_second_12.csv,Asphalts,0.0,11
Asfalt_0_second_13.csv,Asphalts,0.0,11
Asfalt_0_second_14.csv,Asphalts,0.0,11
Asfalt_0_second_15.csv,Asphalts,0.0,11
Asfalt_0.5_second_0.csv,Asphalts,0.5,11
Asfalt_0.5_second_1.csv,Asphalts,0.5,11
Asfalt_0.5_second_2.csv,Asphalts,0.5,11
Asfalt_0.5_second_3.csv,Asphalts,0.5,11
Asfalt_0.5_second_4.csv,Asphalts,0.5,11
Asfalt_0.5_second_5.csv,Asphalts,0.5,11
Asfalt_0.5_second_6.csv,Asphalts,0.5,11
Asfalt_0.5_second_7.csv,Asphalts,0.5,11
Asfalt_0.5_second_8.csv,Asphalts,0.5,11
Asfalt_0.5_second_9.csv,Asphalts,0.5,11
Asfalt_0.5_second_10.csv,Asphalts,0.5,11
Asfalt_0.5_second_11.csv,Asphalts,0.5,11
Asfalt_0.5_second_12.csv,Asphalts,0.5,11
Asfalt_0.5_second_13.csv,Asphalts,0.5,11
Asfalt_0.5_second_14.csv,Asphalts,0.5,11
Asfalt_1_second_0.csv,Asphalts,1.0,11
Asfalt_1_second_1.csv,Asphalts,1.0,11
Asfalt_1_second_2.csv,Asphalts,1.0,11
Asfalt_1_second_3.csv,Asphalts,1.0,11
Asfalt_1_second_4.csv,Asphalts,1.0,11
Asfalt_1_second_5.csv,Asphalts,1.0,11
Asfalt_1_second_6.csv,Asphalts,1.0,11
Asfalt_1_second_7.csv,Asphalts,1.0,11
Asfalt_1_second_8.csv,Asphalts,1.0,11
Asfalt_1_second_9.csv,Asphalts,1.0,11
Asfalt_1_second_10.csv,Asphalts,1.0,11
Asfalt_1_second_11.csv,Asphalts,1.0,11
Asfalt_1_second_12.csv,Asphalts,1.0,11
Asfalt_1_second_13.csv,Asphalts,1.0,11
Asfalt_1.5_second_0.csv,Asphalts,1.5,11
Asfalt_1.5_second_1.csv,Asphalts,1.5,11
Asfalt_1.5_second_2.csv,Asphalts,1.5,11
Asfalt_1.5_second_3.csv,Asphalts,1.5,11
Asfalt_1.5_second_4.csv,Asphalts,1.5,11
Asfalt_1.5_second_5.csv,Asphalts,1.5,11
Asfalt_1.5_second_6.csv,Asphalts,1.5,11
Asfalt_1.5_second_7.csv,Asphalts,1.5,11
Asfalt_1.5_second_8.csv,Asphalts,1.5,11
Asfalt_1.5_second_9.csv,Asphalts,1.5,11
Asfalt_1.5_second_10.csv,Asphalts,1.5,11
Asfalt_1.5_second_11.csv,Asphalts,1.5,11
Asfalt_1.5_second_12.csv,Asphalts,1.5,11
Asfalt_1.5_second_13.csv,Asphalts,1.5,11
Asfalt_2_second_0.csv,Asphalts,2.0,11
Asfalt_2_second_1.csv,Asphalts,2.0,11
Asfalt_2_second_2.csv,Asphalts,2.0,11
Asfalt_2_second_3.csv,Asphalts,2.0,11
Asfalt_2_second_4.csv,Asphalts,2.0,11
Asfalt_2_second_5.csv,Asphalts,2.0,11
Asfalt_2_second_6.csv,Asphalts,2.0,11
Asfalt_2_second_7.csv,Asphalts,2.0,11
Asfalt_2_second_8.csv,Asphalts,2.0,11
Asfalt_2_second_9.csv,Asphalts,2.0,11
Asfalt_2_second_10.csv,Asphalts,2.0,11
Asfalt_2_second_11.csv,Asphalts,2.0,11
Asfalt_2_second_12.csv,Asphalts,2.0,11
Asfalt_2_second_13.csv,Asphalts,2.0,11
Asfalt_2_second_14.csv,Asphalts,2.0,11
Brug_0_second_0.csv,Wood,0.0,11
Brug_0_second_1.csv,Wood,0.0,11
Brug_0_second_2.csv,Wood,0.0,11
Brug_0_second_3.csv,Wood,0.0,11
Brug_0_second_4.csv,Wood,0.0,11
Brug_0_second_5.csv,Wood,0.0,11
Brug_0_second_6.csv,Wood,0.0,11
Brug_0_second_7.csv,Wood,0.0,11
Brug_0_second_8.csv,Wood,0.0,11
Brug_0_second_9.csv,Wood,0.0,11
Brug_0_second_10.csv,Wood,0.0,11
Brug_0_second_11.csv,Wood,0.0,11
Brug_0_second_12.csv,Wood,0.0,11
Brug_0_second_13.csv,Wood,0.0,11
Brug_0_second_14.csv,Wood,0.0,11
Brug_0.5_second_0.csv,Wood,0.5,11
Brug_0.5_second_1.csv,Wood,0.5,11
Brug_0.5_second_2.csv,Wood,0.5,11
Brug_0.5_second_3.csv,Wood,0.5,11
Brug_0.5_second_4.csv,Wood,0.5,11
Brug_0.5_second_5.csv,Wood,0.5,11
Brug_0.5_second_6.csv,Wood,0.5,11
Brug_0.5_second_7.csv,Wood,0.5,11
Brug_0.5_second_8.csv,Wood,0.5,11
Brug_0.5_second_9.csv,Wood,0.5,11
Brug_0.5_second_10.csv,Wood,0.5,11
Brug_0.5_second_11.csv,Wood,0.5,11
Brug_0.5_second_12.csv,Wood,0.5,11
Brug_0.5_second_13.csv,Wood,0.5,11
Brug_0.5_second_14.csv,Wood,0.5,11
Brug_0.5_second_15.csv,Wood,0.5,11
Brug_0.5_second_16.csv,Wood,0.5,11
Brug_0.5_second_17.csv,Wood,0.5,11
Brug_1_second_0.csv,Wood,1.0,11
Brug_1_second_1.csv,Wood,1.0,11
