segment_file,road_type,backpack_weight,weather,surface_condition,bike_weight,rider_mass
asphalt_0kg_seg1.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg2.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg3.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg4.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg5.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg6.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg7.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg8.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg9.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg10.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg11.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg12.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg13.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg14.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg15.csv,asphalt,0.0,sunny,dry,17,90
asphalt_0kg_seg16.csv,asphalt,0.0,sunny,dry,17,90
asphalt_1kg_seg1.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg2.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg3.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg4.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg5.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg6.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg7.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg8.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg9.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg10.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg11.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg12.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg13.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg14.csv,asphalt,1.0,sunny,dry,17,90
asphalt_1kg_seg15.csv,asphalt,1.0,sunny,dry,17,90
asphalt_2kg_seg1.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg2.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg3.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg4.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg5.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg6.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg7.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg8.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg9.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg10.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg11.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg12.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg13.csv,asphalt,2.0,sunny,dry,17,90
asphalt_2kg_seg14.csv,asphalt,2.0,sunny,dry,17,90
asphalt_3kg_seg1.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg2.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg3.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg4.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg5.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg6.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg7.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg8.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg9.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg10.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg11.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg12.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg13.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg14.csv,asphalt,3.0,sunny,dry,17,90
asphalt_3kg_seg15.csv,asphalt,3.0,sunny,dry,17,90
asphalt_4kg_seg1.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg2.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg3.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg4.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg5.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg6.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg7.csv,asphalt,4.0,sunny,dry,17,90
asphalt_4kg_seg8.csv,asphalt,4.0,sunny,dry,17,90
